60x60 spins, 10000000 Monte Carlo cycles, random initial state
Temperature     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    
        2.3      -4886.7991       7666.7333          -15.725412                         1618.6831       1356281.4       608.75651
       2.32      -4744.2494        6638.525          -20.934657                         1282.0131          918050        638.3829
       2.34      -4621.1703       5665.9885          -55.501164                         1018.5164       612664.48        577.9509
       2.36      -4515.1452       4936.3759         -0.59615696                         834.97132       426124.94       574.36102
       2.38      -4420.9764       4468.4377          0.47134194                         702.07247       308069.19       575.94032
        2.4      -4335.2217       4095.5324           1.2392869                         610.27374       234054.59       576.36778
       2.42      -4256.2601       3829.6164           6.7873966                         541.52048       184633.66       576.62904
       2.44      -4182.1122       3608.5194          -2.9361634                         487.71793       149575.81       543.56947
       2.46      -4111.7196       3417.5528          -2.8517792                         444.57972       123937.53       514.22505
       2.48      -4045.4425       3256.4547            2.050042                         411.33745       105440.87       515.85608
        2.5      -3982.1024       3100.9848           1.0393862                         380.22254       89820.491       518.75122
       2.52      -3921.4968       2976.8885          -0.9331982                         357.22024        78693.11       523.26149
       2.54      -3863.0394       2844.4701           -2.116968                         335.83816       69137.774         519.138
       2.56      -3807.3605       2735.5217          0.61889469                         318.68985       61778.185       525.92221
       2.58      -3753.6623       2632.6384          -2.8248903                         301.35262       54885.093       684.50772
        2.6      -3701.5684       2538.6259           2.3758571                         287.51442       49628.959       577.34076
