20x20 spins, 2.4 Temperature, ordered initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
            6.9e+04      -491.86922       563.73632          -17.592638                          174.6378       16207.976       1.4057792         7509914
              7e+04      -494.82851       543.50003           18.048886                         180.58883        16966.78       1.4280015         7539767
            7.1e+04       -496.7378       554.31355         -0.31507042                         185.95321       17816.555       1.4599224         7599126
            7.2e+04      -494.75628       554.48481          -6.0244722                         182.34353       17324.202       1.5721395         7755327
            7.3e+04      -494.16471       561.72276          0.88824658                         179.96879        17091.96       1.5414854         7889020
            7.4e+04      -495.09946       581.71837          -7.9293784                         183.61749       17572.362       1.4990823         7962088
            7.5e+04      -491.93579       554.97847           14.055867                           173.738       16112.678       1.5081532         8162332
            7.6e+04      -496.19174       562.76807              2.0855                         186.05466        17829.56       1.5513688         8148017
            7.7e+04      -495.19527       558.21762           3.1881818                         182.73795         17413.5       1.5483875         8287650
            7.8e+04      -492.99349       547.44043           15.479231                         176.29528       16422.249       1.6614949         8456939
            7.9e+04      -495.14481        565.3525          -1.6171392                         182.18382       17362.469       1.6044514         8501234
              8e+04      -494.10695       572.99482            -2.35745                         178.94155       16999.104       1.6282983         8637199
            8.1e+04      -498.20449       578.06057           37.043235                          188.4697       17716.588       1.6386199         8627186
            8.2e+04       -494.4241       570.62609           0.6507561                         179.60305        17014.81       1.6569009         8841326
            8.3e+04      -496.60814       560.16769            17.51694                         184.99718       17608.543       1.6751264         8886372
            8.4e+04        -496.826       577.14835           3.9047143                         187.17148       18056.282       1.6877516         8984855
            8.5e+04      -494.64579       581.16041           3.6265882                         180.95605       17280.181       1.7127114         9162273
            8.6e+04      -495.77893       549.96526          -18.690558                         182.88791       17312.887       1.7318961         9233900
            8.7e+04      -495.93559       569.10768           3.1190575                         183.00954       17537.818       1.7838556         9336137
            8.8e+04      -495.79123       559.95496              -9.527                         182.45209       17425.135       1.8551575         9447698
            8.9e+04      -494.11218       564.32978          -9.8723371                         180.84573       17135.658        1.890131         9609261
              9e+04      -497.17689       563.46985           16.831933                         187.28918        17925.36       1.9660654         9611829
            9.1e+04      -495.90105        552.7733          -3.7452308                         185.85037       17708.872        1.837728         9764646
            9.2e+04      -492.80065        545.6926           11.748935                         176.75459       16491.002       1.8811282         9980152
            9.3e+04      -494.32103       559.12727          -2.1076774                         178.86406       16849.535       2.0095981        10042040
            9.4e+04      -493.52315       560.34291          -3.3742128                         177.76009       16715.845       1.9089079        10172897
            9.5e+04      -494.99554       562.19174          -5.1564421                         184.12402       17518.098       1.9286921        10224469
            9.6e+04      -494.64225       569.26658           7.3736875                         180.62015       17192.945       1.9887103        10344354
            9.7e+04      -495.01233       559.34803            6.031299                          182.7892       17392.411       1.9992918        10439949
            9.8e+04      -495.12265       568.65154           -29.69551                         182.51441       17043.102       2.0138907        10547232
            9.9e+04       -496.2259       563.48124          -19.179535                         184.14446       17519.463       2.0880015        10616484
