100x100 spins, 10000000 Monte Carlo cycles, random initial state
Temperature     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    
          2      -17454.791       7453.0287           4555.2118                         9109.4457         14214.6       1312.4148
       2.02      -17302.452        8453.004            4505.464                         9003.6384       186556.82       1301.5473
       2.04      -17147.057       8594.4484           4482.4498                         8947.2357       81105.464        1302.933
       2.06      -16979.987       9202.3627          -8851.4875                         8855.2863       138791.24       1307.1709
       2.08      -16804.938       9575.3089          -8764.4573                         8767.9775       117654.15       1306.1565
        2.1      -16620.358       9776.5616         -0.45466756                         8684.3767       18089.807       1309.3546
       2.12      -16420.924       10484.778           4279.5951                         8562.8809       30822.177       1313.4652
       2.14      -16208.774       11250.215           2.5578552                         8423.8228       50300.128       1312.9987
       2.16      -15980.018       12163.078           3.7231816                         8264.4456       57416.309       1314.9642
       2.18      -15734.077       12983.882         -0.28626983                          8081.841       37170.221        1322.189
        2.2      -15464.608       14336.987          -1.0005642                         7840.1043       77938.526       1319.7344
       2.22      -15165.323       15978.859          -904.73539                         7528.2229       4737148.8       1325.3607
       2.24       -14821.92       18813.102          -4711.5011                         7050.4061       5289200.1       1325.7887
       2.26      -14417.146       22485.832           -655.2398                         6241.2491        17236457       1331.8636
       2.28      -13940.287       24776.204          -808.08334                         4839.0782        11174770       1337.5098
        2.3      -13473.256       20762.275           41.641822                         3247.7436       5991570.5       1621.9447
       2.32      -13104.716       16716.605           0.9376969                         2259.1006       3154644.9       1575.8352
       2.34      -12795.726       14404.819           1.4022831                         1707.4181       1867599.6       1585.9277
       2.36      -12521.702       12968.224           24.139777                         1370.6015       1213944.1       1624.1079
       2.38       -12272.78       12055.543           21.514774                         1161.0139       873269.52       1630.4396
        2.4      -12040.097       11239.318          -11.049027                          1012.029       661301.58       1635.4197
       2.42      -11821.432       10572.462           8.2547119                         893.99501       513721.38       1635.3605
       2.44      -11616.039       9983.3982          -1.7470396                         807.37766       417034.97       1635.2894
       2.46      -11422.484       9477.5307          -2.8155237                         741.11232       348170.51       1635.7854
       2.48      -11237.164        9022.299          -4.4372176                         682.31706       293754.21       1654.7655
        2.5      -11061.472       8595.3904           1.9027654                         634.51704       251581.99       1689.1388
       2.52      -10892.001       8235.5677           1.6403546                         593.14173       218457.21       1656.7622
       2.54      -10730.756        7914.685         -0.75493994                         559.03994       192521.48       1628.7932
       2.56      -10575.301       7598.9899          -5.9536995                         528.36166       170613.32        1633.692
       2.58      -10426.513       7314.2473           1.9657111                         502.13667       152804.43       1634.1183
        2.6      -10282.982       7047.0528          -4.9685638                         478.24266       137796.04       1642.2654
