100x100 spins, 10000000 Monte Carlo cycles, random initial state
Temperature     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    
        2.3      -13473.256       20762.275           41.641822                         3247.7436       5991570.5       1621.9447
       2.32      -13104.716       16716.605           0.9376969                         2259.1006       3154644.9       1575.8352
       2.34      -12795.726       14404.819           1.4022831                         1707.4181       1867599.6       1585.9277
       2.36      -12521.702       12968.224           24.139777                         1370.6015       1213944.1       1624.1079
       2.38       -12272.78       12055.543           21.514774                         1161.0139       873269.52       1630.4396
        2.4      -12040.097       11239.318          -11.049027                          1012.029       661301.58       1635.4197
       2.42      -11821.432       10572.462           8.2547119                         893.99501       513721.38       1635.3605
       2.44      -11616.039       9983.3982          -1.7470396                         807.37766       417034.97       1635.2894
       2.46      -11422.484       9477.5307          -2.8155237                         741.11232       348170.51       1635.7854
       2.48      -11237.164        9022.299          -4.4372176                         682.31706       293754.21       1654.7655
        2.5      -11061.472       8595.3904           1.9027654                         634.51704       251581.99       1689.1388
       2.52      -10892.001       8235.5677           1.6403546                         593.14173       218457.21       1656.7622
       2.54      -10730.756        7914.685         -0.75493994                         559.03994       192521.48       1628.7932
       2.56      -10575.301       7598.9899          -5.9536995                         528.36166       170613.32        1633.692
       2.58      -10426.513       7314.2473           1.9657111                         502.13667       152804.43       1634.1183
        2.6      -10282.982       7047.0528          -4.9685638                         478.24266       137796.04       1642.2654
