20x20 spins, 1 Temperature, ordered initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                 82      -799.21951       5.6347412           399.80488                         399.80488      0.35217133       0.0015236              18
                 83      -799.13253        6.187255           399.78313                         399.78313      0.38670344       0.0015412              22
                 84      -799.09524       6.9909297            399.7619                          399.7619      0.51473923       0.0015673              26
                 85      -797.31765       19.346159           399.31765                         399.31765       1.2755709       0.0015857              30
                 86      -799.25581       5.3996755           399.81395                         399.81395      0.33747972       0.0016075              16
                 87      -799.17241       5.9357907            399.7931                          399.7931      0.37098692       0.0016761              20
                 88      -798.63636       9.0495868           399.65909                         399.65909      0.56559917       0.0016438              42
                 89      -799.10112       6.3830324           399.77528                         399.77528      0.39893953       0.0016581              30
                 90      -799.37778       4.5906173           399.84444                         399.84444      0.28691358       0.0016782              19
                 91      -798.24176       12.381113           399.56044                         399.56044      0.77381959       0.0016886              44
                 92      -798.73913       10.410208           399.67391                         399.67391      0.71975425       0.0017132              34
                 93       -798.7957       8.1840675           399.69892                         399.69892      0.51150422       0.0017329              30
                 94      -798.25532       12.785876           399.55319                         399.55319      0.86419194       0.0017543              35
                 95      -799.32632       4.9356233           399.83158                         399.83158      0.30847645       0.0017909              12
                 96      -799.66667       2.5555556           399.91667                         399.91667      0.15972222       0.0017954              18
                 97       -798.8866       10.801573           399.71134                         399.71134      0.74141779       0.0018076              40
                 98      -798.85714       7.8367347           399.71429                         399.71429      0.48979592       0.0018241              40
                 99      -798.62626       12.981532           399.65657                         399.65657      0.81134578       0.0018439              34
                100         -798.64          9.0304              399.66                            399.66          0.5644       0.0018593              29
                101      -799.36634       4.6677777           399.84158                         399.84158       0.2917361       0.0018867              19
                102      -798.43137       15.108035           399.60784                         399.60784      0.94425221       0.0019018              22
                103      -799.30097       7.2783486           399.80583                         399.80583      0.58365539       0.0019169              42
                104      -799.23077       5.5621302           399.80769                         399.80769      0.34763314       0.0019382              20
                105      -799.69524       2.3452154           399.92381                         399.92381      0.14657596       0.0019583              28
                106       -798.9434       8.5439658           399.73585                         399.73585      0.53399786       0.0019956              29
                107      -798.28037         17.6784            399.5514                          399.5514       1.2193205       0.0019983              44
                108      -798.18519       12.854595           399.53704                         399.53704      0.85973937       0.0020156              38
                109      -798.42202       14.390708           399.57798                         399.57798       1.1063042       0.0020213              48
                110      -799.12727       6.2201653           399.78182                         399.78182      0.38876033       0.0020487              23
                111      -799.38739       4.9580391           399.83784                         399.83784      0.37009983       0.0020726              13
                112      -798.92857       8.5663265           399.73214                         399.73214      0.53539541       0.0020769              36
                113      -798.58407       10.455321           399.64602                         399.64602      0.65345759       0.0021038              26
                114      -798.63158       14.548476           399.64912                         399.64912      0.99969221       0.0021258              32
                115      -799.06087       7.0484688           399.75652                         399.75652      0.49724008       0.0021406              20
                116      -798.41379       15.690844           399.60345                         399.60345      0.98067776       0.0021643              38
                117      -798.90598       10.016802            399.7094                          399.7094      0.77025349       0.0021766              30
                118       -798.0339       15.659868           399.47458                         399.47458        1.181557       0.0021903              38
                119      -798.52101       10.720147           399.63025                         399.63025      0.67000918       0.0022165              38
                120      -799.26667       6.3955556           399.81667                         399.81667      0.39972222       0.0022762              28
                121      -798.94215       8.4016119           399.73554                         399.73554      0.52510074        0.002256              44
                122      -799.27869       5.2502016           399.81967                         399.81967       0.3281376       0.0022675              18
                123      -798.82927       10.076542           399.70732                         399.70732      0.62978386       0.0022853              28
                124      -798.64516       11.067638           399.66129                         399.66129      0.69172737       0.0023155              34
                125        -797.632       23.576576             399.392                           399.392        1.678336       0.0023509              50
                126      -798.22222       12.077601           399.55556                         399.55556      0.75485009       0.0023596              50
                127      -799.93701        0.499969           399.98425                         399.98425     0.031248062       0.0023706              20
                128         -799.25          6.4375            399.8125                          399.8125      0.40234375       0.0024852              38
                129      -798.69767       11.451235           399.65891                         399.65891       0.8138934       0.0024134              42
                130      -799.63077       2.8175148           399.90769                         399.90769      0.17609467       0.0024174              10
                131      -799.26718       5.3255638           399.81679                         399.81679      0.33284774       0.0024402              32
                132      -798.60606       10.178145           399.65152                         399.65152      0.63613407       0.0024589              36
                133      -798.82707       9.3309967           399.69925                         399.69925      0.63135282       0.0024804              38
                134      -799.34328       6.7329027           399.83582                         399.83582      0.42080642       0.0024983              26
                135      -799.28889       5.1832099           399.82222                         399.82222      0.32395062       0.0025103              40
                136      -798.82353       8.9688581           399.70588                         399.70588      0.56055363       0.0025363              42
                137      -798.18978       14.007779           399.54745                         399.54745      0.87548617       0.0025495              42
                138      -799.15942       9.1484982           399.78261                         399.78261      0.61940769       0.0025733              30
                139      -798.96403       8.1353967           399.74101                         399.74101      0.50846229       0.0025884              39
                140      -798.97143       7.1706122           399.74286                         399.74286      0.44816327       0.0026003              40
                141      -798.60993       11.117348           399.63121                         399.63121      0.82852975        0.002626              48
                142      -798.70423       11.391391           399.67606                         399.67606      0.71196191       0.0026463              46
                143      -798.76923       11.016676           399.69231                         399.69231      0.68854223       0.0026639              38
                144         -798.75       9.6597222           399.68056                         399.68056      0.64795525       0.0027765              43
                145      -798.48276        12.81522           399.61379                         399.61379      0.84394768          0.0027              38
                146      -798.65753       11.019704           399.65753                         399.65753      0.73203228       0.0027161              50
                147      -798.53061        10.46675           399.63265                         399.63265      0.65417187       0.0027346              42
                148      -798.37838       13.802776           399.59459                         399.59459      0.86267348       0.0027533              50
                149      -798.33557       13.122292           399.58389                         399.58389      0.82014324       0.0027733              54
                150         -799.04          6.7584              399.76                            399.76          0.4224       0.0027906              36
                151      -799.60265       3.3388009           399.89404                         399.89404      0.25367308       0.0027963              28
                152      -799.07895       9.3621884           399.76316                         399.76316      0.62811634        0.002856              50
                153      -799.21569       5.6593618           399.80392                         399.80392      0.35371011       0.0028647              42
                154      -798.96104       8.0634171           399.74026                         399.74026      0.50396357       0.0028695              46
                155      -798.55484       12.776025           399.63871                         399.63871      0.79850156       0.0028872              52
                156      -799.17949       5.8908613           399.79487                         399.79487      0.36817883       0.0029184              28
                157      -798.98089       9.5601444           399.74522                         399.74522      0.59750903       0.0029531              38
                158      -798.48101       10.452171           399.60759                         399.60759      0.73209422        0.002954              60
                159      -798.79245       9.6110122           399.68553                         399.68553      0.68098572       0.0030077              44
                160          -798.7            9.51             399.675                           399.675        0.594375       0.0030046              38
                161      -799.25466       6.2022299           399.81366                         399.81366      0.38763937       0.0029933              36
                162      -798.83951       10.998933            399.7037                          399.7037      0.75171468       0.0030161              40
                163      -798.92025       7.4721668           399.73006                         399.73006      0.46701043       0.0030352              50
                164      -798.78049       11.195717           399.68293                         399.68293      0.77751338       0.0030484              44
                165      -799.22424       5.6042608           399.80606                         399.80606       0.3502663       0.0030552              34
                166      -799.22892       5.5741036           399.80723                         399.80723      0.34838148       0.0031318              46
                167      -798.92216       9.0897486           399.71257                         399.71257      0.68385385       0.0031173              43
                168      -799.28571       5.9659864           399.82143                         399.82143      0.37287415       0.0031272              36
                169      -799.19527       5.7902734           399.79882                         399.79882      0.36189209        0.003132              52
                170      -798.47059       14.696194           399.58824                         399.58824       1.1245675       0.0031689              64
                171      -798.52632       12.144044           399.62573                         399.62573      0.79559523        0.003243              65
                172      -798.97674       7.6971336           399.73256                         399.73256      0.55638183       0.0032349              52
                173      -799.12139       6.9968258           399.78035                         399.78035      0.43730161       0.0034208              40
                174      -798.82759       10.303607           399.68966                         399.68966       0.7542608       0.0032687              54
                175      -798.74286       10.579592              399.68                            399.68      0.72045714       0.0032679              50
                176      -799.22727        6.857438           399.79545                         399.79545       0.5036157       0.0032751              28
                177      -798.71186       9.6401417           399.67232                         399.67232      0.63838616       0.0032894              72
                178      -798.92135       8.9039263           399.73034                         399.73034      0.55649539       0.0033121              38
                179      -798.81564       13.345901           399.69832                         399.69832      0.86988546       0.0033262              54
                180      -799.15556       7.4646914           399.78889                         399.78889      0.46654321       0.0033525              45
                181      -799.11602       7.8815665           399.76796                         399.76796      0.58703947       0.0033695              59
                182      -799.03297       8.9110011           399.75824                         399.75824      0.55693757       0.0033715              48
                183      -798.51366       14.053092           399.61749                         399.61749       0.9684374       0.0034037              60
