20x20 spins, 1 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                 78      -677.12821       3712.3682           48.179487                          48.74359       273.76266        0.001486            2064
                 79      -735.39241       7399.7321          -311.08861                         311.08861       11445.347       0.0014949            1360
                 80         -737.65       9260.2775             -335.35                            335.35       8580.0775       0.0015196            1481
                 81      -714.41975       8122.7374            266.5679                          266.5679       13603.677       0.0015309            1911
                 82      -663.26829       4774.2939          -22.878049                         42.195122       1612.2046       0.0015665            2717
                 83      -666.12048       3842.8289          -3.4216867                         16.819277        469.3523       0.0015847            2700
                 84      -734.80952       8263.1542          -299.78571                         299.78571       13802.764       0.0015888            1562
                 85            -724       9717.8353          -304.56471                         304.56471       12593.658       0.0016101            1723
                 86      -705.90698       9555.2472          -249.67442                         250.09302       24530.499       0.0016409            2188
                 87      -750.34483       6536.2949          -347.03448                         347.03448       7774.9758        0.001657            1189
                 88      -673.22727       5313.5847          -8.9318182                             26.75       1066.9954        0.001674            2291
                 89      -662.60674       2998.3285           15.842697                         22.539326       454.49211       0.0017015            2977
                 90      -711.91111       8869.3254           268.75556                         269.11111       17102.185       0.0017036            2162
                 91      -720.43956       6639.9826           264.57143                         264.57143       16210.926       0.0017224            1940
                 92       -754.3913       7422.2817            353.3913                          353.3913       7804.2382       0.0017334            1169
                 93      -736.43011       7192.5892           315.46237                         315.46237       9403.3669        0.001823            1596
                 94      -725.91489       9244.8438          -289.12766                         289.12766       17923.622       0.0017773            1798
                 95      -673.85263       3266.9678           2.5263158                         23.410526       794.03878       0.0018065            2782
                 96      -679.70833       3468.0816           13.645833                         29.104167       1023.1662       0.0018241            2498
                 97      -746.63918       7417.3647          -318.70103                         318.70103       13320.003       0.0018347            1442
                 98      -745.83673       9052.4631          -347.16327                         347.16327        7799.504       0.0018514            1506
                 99      -720.56566       8435.7204           261.73737                         262.62626        19696.78       0.0018752            2119
                100         -738.56       8106.0864              -317.2                             317.2        12655.52       0.0018861            1657
                101      -743.76238       7907.7455          -326.61386                         326.61386       12925.128       0.0019066            1553
                102            -764       6176.9412           361.64706                         361.80392        7167.797       0.0019089            1063
                103      -681.63107        3215.359           56.349515                         56.582524       1125.7031       0.0019647            2583
                104      -758.30769       7858.6746           354.21154                         354.21154        9405.686       0.0019513            1219
                105      -743.39048       6585.5332          -322.68571                         322.68571       11009.816       0.0019806            1683
                106      -679.28302       2797.5237           32.169811                         35.415094       1031.1787       0.0020231            2793
                107      -741.45794       7678.9211          -327.36449                         327.40187       10223.372       0.0020179            1577
                108      -727.33333       5724.8889          -273.48148                         273.48148       15244.694       0.0020787            2160
                109      -684.25688       3520.3744          -127.81651                         127.81651       746.82872       0.0020657            2454
                110      -767.38182        5898.236          -369.90909                         369.90909       5064.0281        0.002071            1083
                111      -752.97297       7644.6029           337.69369                         338.12613       11634.465       0.0020897            1500
                112      -738.17857       5974.5395           295.01786                         295.01786       16169.714       0.0021401            1896
                113      -672.21239       4344.5921          -76.849558                         79.256637       4728.1986       0.0021514            3252
                114      -716.63158       8013.9169           273.17544                         273.17544       17249.741       0.0021599            2667
                115      -748.03478       6459.6857          -322.43478                         322.43478       12783.289       0.0021638            1652
                116      -724.75862       6834.7348           275.91379                         275.94828       16612.993       0.0021921            2297
                117      -756.54701       6377.8204          -334.75214                         334.75214        11192.46       0.0021987            1489
                118      -677.55932       2976.8228           13.016949                                40       2067.8472       0.0022447            3197
                119      -678.15126        3035.641          -98.134454                         98.470588       1608.7214       0.0022562            3098
                120      -775.53333       5601.1156          -382.43333                         382.43333       2872.1456       0.0022482             945
                121      -733.85124       7348.3746           292.47934                         292.47934       16684.894       0.0022874            2222
                122      -730.59016       7637.7501          -294.78689                         294.78689        15632.43       0.0023264            2374
                123      -760.03252       6540.6168          -347.96748                         348.06504       9585.4949       0.0023292            1451
                124      -700.93548       6333.1894          -195.22581                         208.06452       27666.562       0.0023629            3122
                125         -682.88       2493.8496              65.984                             66.24       791.13574       0.0023739            3220
                126      -749.11111       6184.2892           323.55556                         324.85714       13329.961       0.0023708            1725
                127      -756.15748       7067.3138          -344.44094                         344.44094       9535.7426       0.0023854            1680
                128      -671.71875       3269.7959          -77.171875                         77.796875        1174.408       0.0024293            3679
                129      -687.16279       2028.3223          -165.10078                         165.10078       3488.9278       0.0024455            3037
                130          -733.6       7051.9631          -294.64615                         294.76923       15600.936       0.0024529            2128
                131      -686.53435       1978.6763           30.671756                         32.564885       516.25103       0.0024822            3171
                132      -687.42424       2232.0321          -86.363636                         86.363636       2150.7163       0.0024989            3021
                133      -764.90226       6424.4491          -362.39098                         362.39098       6110.1028       0.0024951            1331
                134      -685.04478       2264.8189           50.761194                         54.044776       962.79372       0.0025339            3051
                135      -730.19259       6336.4074           286.11852                         286.11852        14782.09       0.0025535            2444
                136      -771.67647       5371.5424          -369.51471                         369.51471       4995.3821       0.0025567            1129
                137      -784.49635        4071.812          -389.57664                         389.57664       1923.0033       0.0025674             706
                138      -756.89855        6656.468           341.68116                         341.68116       12823.666       0.0025918            1674
                139      -770.18705       3358.9003          -361.81295                         361.81295         4830.67       0.0026017            1122
                140      -684.62857        2342.462          -139.71429                         139.71429       1802.4898       0.0026483            3373
                141       -746.6383       7349.0678           322.76596                         322.76596       14214.562       0.0026588            2047
                142      -771.80282       4601.7639           370.30986                         370.30986       4037.1998        0.002662            1148
                143      -746.29371       6948.5851          -314.20979                         314.51748       15942.977       0.0026895            2086
                144      -683.63889       2801.5363          -93.819444                         94.291667       2544.3841       0.0027268            3362
                145      -764.82759       6916.1703           364.93793                         364.93793       7204.5272       0.0027288            1437
                146      -684.46575        2108.605            199.9863                          199.9863       962.05461        0.002781            3571
                147      -685.46939       2052.5892          -6.2857143                         42.965986       2471.8367       0.0028577            3482
                148      -785.94595       3500.2133          -390.40541                         390.40541       1636.8086       0.0027679             676
                149      -769.20805       4921.2789           360.56376                         360.56376       5870.5547       0.0027951            1394
                150      -681.22667       2175.7753           113.29333                         114.09333       6411.0473       0.0028416            3986
                151      -690.09272       2259.2497           7.4437086                          24.05298       757.51835       0.0028624            3232
                152      -732.92105       6603.4675              276.75                         277.85526        20577.78       0.0028649            2608
