80x80 spins, 10000000 Monte Carlo cycles, random initial state
Temperature     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    
          2      -11171.574       4640.1888         0.089447047                         5832.4042       2469.2176       970.72743
       2.02      -11076.134       4892.5135           -5788.071                          5788.071       2892.0466        957.7112
       2.04       -10975.85        5171.925           2869.3695                         5739.4205       4362.9717       958.32763
       2.06      -10869.353       5490.7954           1.0661179                         5685.0102       6503.8381       958.74061
       2.08       -10756.55       5823.6206           1.2969117                         5625.6554       6611.9858       963.72932
        2.1      -10637.306       6201.7563          -2.5419351                         5558.3715       12624.646       963.44091
       2.12      -10509.925       6585.7218           2740.0496                         5482.7392       11092.195       966.60505
       2.14      -10374.038       7047.5159           2698.8428                         5397.0707       10137.934       968.47241
       2.16      -10228.057       7554.3308          -2647.6535                         5296.1677       13429.769       972.06988
       2.18      -10070.543       8223.5175           2589.1678                         5175.3562       19365.693       971.44586
        2.2      -9897.2859       9066.2301          -1863.3464                         5021.8827       2223151.3       976.13416
       2.22      -9705.6517       10250.122          -1650.9615                         4817.0781       2460146.3       976.94938
       2.24      -9488.9012       11679.224          -684.48969                         4532.3782       8152899.7       998.08984
       2.26      -9237.9187       13645.496            644.7418                           4078.32       7197918.6        1072.237
       2.28       -8936.988       15118.875          -235.61317                         3285.6051         5292210       1002.2606
        2.3      -8645.2494       13627.912           79.496931                          2431.142       3223039.1       1056.5115
       2.32      -8399.6976       11143.187          -7.6654408                         1790.4929       1891514.3       1050.1944
       2.34      -8193.9251       9448.1244          -44.247223                         1362.1287       1151176.4       1050.0209
       2.36      -8016.2602       8424.9543           11.913907                         1107.8636       777708.93       1021.9574
       2.38      -7855.1509       7744.3422          -13.288092                         934.23393       559166.34        1029.247
        2.4      -7705.7041       7208.7842          -3.9819155                         811.40348       420646.06       1029.2741
       2.42      -7566.1912       6768.2778           9.0734711                         715.99442       327672.19        1026.794
       2.44      -7434.9183        6402.865           4.5676098                         645.41459       264798.27       1031.7615
       2.46      -7310.4463       6063.1884          -2.0748645                         592.40597       221748.58       1033.0752
       2.48      -7191.2929        5772.059          0.76754615                         542.78941       185024.91       1031.0646
        2.5      -7079.1711       5511.5132          -2.9617477                         507.58506       160505.59       1030.3182
       2.52      -6971.3754       5281.9501          -3.2058699                         475.38271        139953.2       1107.7403
       2.54      -6867.1524       5058.9491          0.43258318                         447.13362       122787.26        1128.375
       2.56      -6767.7992       4858.9953           2.2499864                         422.11218       108772.54       1131.5274
       2.58      -6672.8484       4674.8133           1.3259944                         400.63198       97360.383       1093.6723
        2.6      -6581.0448       4514.6203          0.64112913                         383.44101       88572.244       935.92585
