60x60 spins, 10000000 Monte Carlo cycles, random initial state
Temperature     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    
          2      -6283.5491       2662.8236           1638.1531                         3278.4162       6096.3843       588.82311
       2.02      -6230.1181       2782.1694         0.032463226                         3254.8783       2849.1715        572.6515
       2.04      -6173.8988       2929.1351            1614.294                         3228.1997        2570.096       589.77064
       2.06      -6113.9507       3101.9129           1598.2531                         3197.5354       3918.8638        560.8173
       2.08      -6050.4267       3290.1468          0.48313019                         3163.9855       3991.5973       589.85715
        2.1      -5983.3309       3486.4782          -1562.4226                         3126.3329       4984.2045       562.86953
       2.12      -5911.8064       3733.1426          -1541.5255                         3083.7269       6397.6935       534.96881
       2.14      -5835.4076       3979.6198          0.45714577                         3035.4769       6390.5524       537.89229
       2.16      -5752.7879       4278.4096          0.64467532                         2978.3087        8085.276       589.22208
       2.18      -5664.0473       4670.9552           1455.2983                         2908.6044       12705.156       640.85766
        2.2      -5567.1069       5091.9907           1412.5441                         2824.4863       17954.468       599.29347
       2.22      -5459.5311       5710.3469          -373.62652                         2712.1694       2267478.4       553.55648
       2.24      -5336.2887       6540.1513          -643.55574                         2547.4338       2603363.7       541.16654
       2.26      -5197.4948       7462.0207           152.38906                         2311.3423       2402694.6       549.27429
       2.28       -5043.479       7992.3898            86.40771                          1992.517       1914174.4       547.24328
