20x20 spins, 1 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
            7.1e+03      -798.25014       150.65067           398.76225                         398.76225       233.04263       0.2014674            3471
            7.2e+03      -797.68556       217.97224           397.88194                         397.88194       510.58884       0.1624604            4406
            7.3e+03      -798.40767       124.54394           399.35397                         399.35397        66.91306       0.1848221            3113
            7.4e+03      -785.85297          1225.6           347.03459                         362.08703        20982.08       0.1528544           20310
            7.5e+03      -796.78987       274.77024           395.25893                         395.26373       1156.0519       0.1834971            5363
            7.6e+03      -791.45842       750.12143           375.54289                         379.33605       8566.6411       0.1429269           12800
            7.7e+03       -798.3439       117.10771          -399.12935                         399.12935       106.08457        0.149044            3414
            7.8e+03      -780.32974       1601.4277           343.90692                         343.94897       14408.507        0.146975           29046
            7.9e+03      -789.77114       891.52636             -359.68                         371.90278       16922.276       0.1479409           15070
              8e+03       -798.4175       131.73769           -399.1115                          399.1115       130.16357       0.1545742            3525
            8.1e+03      -784.15951       1335.2299          -340.58889                         358.24667        23171.95       0.1534602           23944
            8.2e+03      -798.05317       163.63815          -398.49976                         398.49976       300.63659       0.1543845            4234
            8.3e+03      -798.46795        100.9415          -399.36699                         399.36699       73.350139       0.1574034            3299
            8.4e+03      -782.29095       1490.6849            339.4669                           352.535       21181.946       0.1696459           28704
            8.5e+03      -798.26071       139.48403           399.02847                         399.02847       151.77754        0.159009            3800
            8.6e+03      -790.35116       866.41064           371.00233                         372.21581       9704.7786       0.1759302           16735
            8.7e+03      -795.53609       405.66433           391.00644                         391.07816       2683.7135       0.1631666            8643
            8.8e+03         -798.48       89.245964          -399.20455                         399.20455       102.39998       0.1678872            3458
            8.9e+03      -798.04539       169.56019           398.51393                         398.51663       309.28599       0.1686238            4536
              9e+03      -788.20844       1041.4588          -370.38444                         371.71689       8398.9366        0.169716           19828
            9.1e+03      -798.23033        136.7575           398.80923                         398.80923       221.74954       0.1704118            4228
            9.2e+03      -798.11087       143.59119           398.33326                         398.33587       358.23024       0.1722831            4626
            9.3e+03      -797.97505       164.62217           398.45656                         398.45656       305.75672       0.1765843            4868
            9.4e+03      -798.43362       88.628998          -399.29489                         399.29489        70.34708       0.1850316            3833
            9.5e+03      -798.54526        89.01132           399.30737                         399.30737       88.102156       0.2014865            3824
            9.6e+03       -779.8675       1592.1624          -324.91167                         340.86833       25978.568       0.1971064           35468
            9.7e+03       -798.6132       77.953063          -399.53052                         399.53052       35.543296       0.1901331            3612
            9.8e+03      -798.05388       147.53669           398.35122                         398.35122        366.4795        0.194684            4898
            9.9e+03       -778.3398        1724.169          -313.64384                         334.98727       30885.983       0.1988273           40239
