t_Jacobi: 7.510360e+01 (182795 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     4.28021507e+02            4.28021507e+02     1.12380888e-01    -6.12406230e-02    -9.61434942e-04
     4.40271461e+02            4.40271461e+02     1.12833522e-01    -5.85048765e-02    -5.14988866e-03
     4.52671119e+02            4.52671119e+02     1.13225338e-01    -5.56768926e-02    -9.32476414e-03
     4.65219130e+02            4.65219130e+02     1.13556503e-01    -5.27613164e-02    -1.34750851e-02
     4.77914129e+02            4.77914129e+02     1.13827261e-01    -4.97629303e-02    -1.75899726e-02
     4.90754733e+02            4.90754733e+02     1.14037929e-01    -4.66866418e-02    -2.16586776e-02
     5.03739544e+02            5.03739544e+02     1.14188896e-01    -4.35374718e-02    -2.56706127e-02
     5.16867148e+02            5.16867148e+02     1.14280623e-01    -4.03205417e-02    -2.96153834e-02
     5.30136116e+02            5.30136116e+02     1.14313637e-01    -3.70410617e-02    -3.34828179e-02
     5.43545002e+02            5.43545002e+02     1.14288534e-01    -3.37043177e-02    -3.72629964e-02
     5.57092346e+02            5.57092346e+02     1.14205976e-01    -3.03156593e-02    -4.09462791e-02
     5.70776674e+02            5.70776674e+02     1.14066685e-01    -2.68804870e-02    -4.45233327e-02
     5.84596495e+02            5.84596495e+02     1.13871447e-01    -2.34042400e-02    -4.79851563e-02
     5.98550304e+02            5.98550304e+02     1.13621103e-01    -1.98923838e-02    -5.13231053e-02
     6.12636581e+02            6.12636581e+02     1.13316554e-01    -1.63503979e-02    -5.45289143e-02
     6.26853793e+02            6.26853793e+02     1.12958753e-01    -1.27837637e-02    -5.75947182e-02
     6.41200390e+02            6.41200390e+02     1.12548705e-01    -9.19795269e-03    -6.05130722e-02
     6.55674812e+02            6.55674812e+02     1.12087464e-01    -5.59841449e-03    -6.32769698e-02
     6.70275480e+02            6.70275480e+02     1.11576131e-01    -1.99056564e-03    -6.58798594e-02
