t_Jacobi: 3.954169e+00 (19898 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     2.22933257e+00            2.22933257e+00     1.67585539e-02     2.35721699e-02     2.82656226e-02
     4.13087595e+00            4.13087595e+00     3.48105307e-02     4.85242337e-02     5.76499387e-02
     6.06511057e+00            6.06511057e+00     5.38283949e-02     7.39181706e-02     8.64661152e-02
     8.01437760e+00            8.01437760e+00     7.34580437e-02     9.87743312e-02     1.13013722e-01
     9.97139127e+00            9.97139127e+00     9.33288411e-02     1.22113521e-01     1.35682791e-01
     1.19325318e+01            1.19325318e+01     1.13064175e-01     1.42999179e-01     1.53052980e-01
     1.38957696e+01            1.38957696e+01     1.32292130e-01     1.60577511e-01     1.63981244e-01
     1.58599320e+01            1.58599320e+01     1.50655876e-01     1.74113571e-01     1.67672267e-01
     1.78250689e+01            1.78250689e+01     1.67823375e-01     1.83021517e-01     1.63727121e-01
     1.97969386e+01            1.97969386e+01     1.83496077e-01     1.86887636e-01     1.52167197e-01
     2.18018956e+01            2.18018956e+01     1.97416277e-01     1.85485136e-01     1.33432195e-01
     2.38999243e+01            2.38999243e+01     2.09372937e-01     1.78780182e-01     1.08352736e-01
     2.61588117e+01            2.61588117e+01     2.19205780e-01     1.66929137e-01     7.80999006e-02
     2.86152430e+01            2.86152430e+01     2.26807596e-01     1.50267441e-01     4.41154717e-02
     3.12755469e+01            3.12755469e+01     2.32124752e-01     1.29290984e-01     8.02783325e-03
     3.41340638e+01            3.41340638e+01     2.35155971e-01     1.04631203e-01    -2.84407248e-02
     3.71830669e+01            3.71830669e+01     2.35949524e-01     7.70253815e-02    -6.35692228e-02
     4.04154267e+01            4.04154267e+01     2.34599035e-01     4.72838298e-02    -9.57297472e-02
     4.38248888e+01            4.38248888e+01     2.31238134e-01     1.62556698e-02    -1.23470281e-01
     4.74058653e+01            4.74058653e+01     2.26034227e-01    -1.52050685e-02    -1.45584009e-01
     5.11532050e+01            5.11532050e+01     2.19181681e-01    -4.62714707e-02    -1.61161636e-01
     5.50620226e+01            5.50620226e+01     2.10894701e-01    -7.61725145e-02    -1.69624544e-01
     5.91275800e+01            5.91275800e+01     2.01400192e-01    -1.04217501e-01    -1.70738007e-01
     6.33452069e+01            6.33452069e+01     1.90930842e-01    -1.29815348e-01    -1.64604956e-01
     6.77102467e+01            6.77102467e+01     1.79718671e-01    -1.52488289e-01    -1.51642033e-01
     7.22180202e+01            7.22180202e+01     1.67989206e-01    -1.71879820e-01    -1.32540591e-01
     7.68638010e+01            7.68638010e+01     1.55956451e-01    -1.87757065e-01    -1.08216069e-01
     8.16427986e+01            8.16427986e+01     1.43818713e-01    -2.00007988e-01    -7.97495615e-02
     8.65501475e+01            8.65501475e+01     1.31755361e-01    -2.08634059e-01    -4.83255614e-02
     9.15809006e+01            9.15809006e+01     1.19924516e-01    -2.13739208e-01    -1.51697039e-02
     9.67300247e+01            9.67300247e+01     1.08461638e-01    -2.15515918e-01     1.85100189e-02
