t_Jacobi: 9.487722e-01 (13423 iterations) t_armadillo: 3.014700e-03
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     9.86836724e+00            9.86836724e+00     6.09296177e-03    -1.21767591e-02     1.82422415e-02
     3.94586260e+01            3.94586260e+01     1.21767591e-02    -2.42802858e-02     3.62377880e-02
     8.87262697e+01            8.87262697e+01     1.82422415e-02    -3.62377880e-02     5.37432806e-02
     1.57597195e+02            1.57597195e+02     2.42802858e-02    -4.79773519e-02     7.05219875e-02
     2.45967814e+02            2.45967814e+02     3.02818103e-02    -5.94283743e-02     8.63470055e-02
     3.53705208e+02            3.53705208e+02     3.62377880e-02    -7.05219875e-02     1.01004328e-01
     4.80647331e+02            4.80647331e+02     4.21392607e-02    -8.11914732e-02     1.14295741e-01
     6.26603249e+02            6.26603249e+02     4.79773519e-02    -9.13726637e-02     1.26041500e-01
     7.91353430e+02            7.91353430e+02     5.37432806e-02    -1.01004328e-01     1.36082763e-01
     9.74650075e+02            9.74650075e+02     5.94283743e-02    -1.10028541e-01     1.44283741e-01
     1.17621749e+03            1.17621749e+03     6.50240821e-02    -1.18391029e-01     1.50533529e-01
     1.39575249e+03            1.39575249e+03     7.05219875e-02    -1.26041500e-01     1.54747609e-01
     1.63292489e+03            1.63292489e+03     7.59138211e-02    -1.32933942e-01     1.56868993e-01
     1.88737794e+03            1.88737794e+03     8.11914732e-02    -1.39026904e-01     1.56868993e-01
     2.15872894e+03            2.15872894e+03     8.63470055e-02    -1.44283741e-01     1.54747609e-01
     2.44656973e+03            2.44656973e+03     9.13726637e-02    -1.48672839e-01     1.50533529e-01
     2.75046739e+03            2.75046739e+03     9.62608888e-02    -1.52167802e-01     1.44283741e-01
     3.06996482e+03            3.06996482e+03     1.01004328e-01    -1.54747609e-01     1.36082763e-01
     3.40458146e+03            3.40458146e+03     1.05595848e-01    -1.56396746e-01     1.26041500e-01
     3.75381402e+03            3.75381402e+03     1.10028541e-01    -1.57105294e-01     1.14295741e-01
     4.11713723e+03            4.11713723e+03     1.14295741e-01    -1.56868993e-01     1.01004328e-01
     4.49400460e+03            4.49400460e+03     1.18391029e-01    -1.55689263e-01     8.63470055e-02
     4.88384930e+03            4.88384930e+03     1.22308246e-01    -1.53573200e-01     7.05219875e-02
     5.28608496e+03            5.28608496e+03     1.26041500e-01    -1.50533529e-01     5.37432806e-02
     5.70010658e+03            5.70010658e+03     1.29585175e-01    -1.46588532e-01     3.62377880e-02
     6.12529143e+03            6.12529143e+03     1.32933942e-01    -1.41761934e-01     1.82422415e-02
     6.56100000e+03            6.56100000e+03     1.36082763e-01    -1.36082763e-01     3.93447860e-16
     7.00657693e+03            7.00657693e+03     1.39026904e-01    -1.29585175e-01    -1.82422415e-02
     7.46135205e+03            7.46135205e+03     1.41761934e-01    -1.22308246e-01    -3.62377880e-02
     7.92464131e+03            7.92464131e+03     1.44283741e-01    -1.14295741e-01    -5.37432806e-02
     8.39574790e+03            8.39574790e+03     1.46588532e-01    -1.05595848e-01    -7.05219875e-02
     8.87396321e+03            8.87396321e+03     1.48672839e-01    -9.62608888e-02    -8.63470055e-02
     9.35856798e+03            9.35856798e+03     1.50533529e-01    -8.63470055e-02    -1.01004328e-01
     9.84883331e+03            9.84883331e+03     1.52167802e-01    -7.59138211e-02    -1.14295741e-01
     1.03440218e+04            1.03440218e+04     1.53573200e-01    -6.50240821e-02    -1.26041500e-01
     1.08433886e+04            1.08433886e+04     1.54747609e-01    -5.37432806e-02    -1.36082763e-01
     1.13461827e+04            1.13461827e+04     1.55689263e-01    -4.21392607e-02    -1.44283741e-01
     1.18516478e+04            1.18516478e+04     1.56396746e-01    -3.02818103e-02    -1.50533529e-01
     1.23590236e+04            1.23590236e+04     1.56868993e-01    -1.82422415e-02    -1.54747609e-01
     1.28675469e+04            1.28675469e+04     1.57105294e-01    -6.09296177e-03    -1.56868993e-01
     1.33764531e+04            1.33764531e+04     1.57105294e-01     6.09296177e-03    -1.56868993e-01
     1.38849764e+04            1.38849764e+04     1.56868993e-01     1.82422415e-02    -1.54747609e-01
     1.43923522e+04            1.43923522e+04     1.56396746e-01     3.02818103e-02    -1.50533529e-01
     1.48978173e+04            1.48978173e+04     1.55689263e-01     4.21392607e-02    -1.44283741e-01
     1.54006114e+04            1.54006114e+04     1.54747609e-01     5.37432806e-02    -1.36082763e-01
     1.58999782e+04            1.58999782e+04     1.53573200e-01     6.50240821e-02    -1.26041500e-01
     1.63951667e+04            1.63951667e+04     1.52167802e-01     7.59138211e-02    -1.14295741e-01
     1.68854320e+04            1.68854320e+04     1.50533529e-01     8.63470055e-02    -1.01004328e-01
     1.73700368e+04            1.73700368e+04     1.48672839e-01     9.62608888e-02    -8.63470055e-02
     1.78482521e+04            1.78482521e+04     1.46588532e-01     1.05595848e-01    -7.05219875e-02
     1.83193587e+04            1.83193587e+04     1.44283741e-01     1.14295741e-01    -5.37432806e-02
     1.87826480e+04            1.87826480e+04     1.41761934e-01     1.22308246e-01    -3.62377880e-02
     1.92374231e+04            1.92374231e+04     1.39026904e-01     1.29585175e-01    -1.82422415e-02
     1.96830000e+04            1.96830000e+04     1.36082763e-01     1.36082763e-01     4.30128311e-16
     2.01187086e+04            2.01187086e+04     1.32933942e-01     1.41761934e-01     1.82422415e-02
     2.05438934e+04            2.05438934e+04     1.29585175e-01     1.46588532e-01     3.62377880e-02
     2.09579150e+04            2.09579150e+04     1.26041500e-01     1.50533529e-01     5.37432806e-02
     2.13601507e+04            2.13601507e+04     1.22308246e-01     1.53573200e-01     7.05219875e-02
     2.17499954e+04            2.17499954e+04     1.18391029e-01     1.55689263e-01     8.63470055e-02
     2.21268628e+04            2.21268628e+04     1.14295741e-01     1.56868993e-01     1.01004328e-01
     2.24901860e+04            2.24901860e+04     1.10028541e-01     1.57105294e-01     1.14295741e-01
     2.28394185e+04            2.28394185e+04     1.05595848e-01     1.56396746e-01     1.26041500e-01
     2.31740352e+04            2.31740352e+04     1.01004328e-01     1.54747609e-01     1.36082763e-01
     2.34935326e+04            2.34935326e+04     9.62608888e-02     1.52167802e-01     1.44283741e-01
     2.37974303e+04            2.37974303e+04     9.13726637e-02     1.48672839e-01     1.50533529e-01
     2.40852711e+04            2.40852711e+04     8.63470055e-02     1.44283741e-01     1.54747609e-01
     2.43566221e+04            2.43566221e+04     8.11914732e-02     1.39026904e-01     1.56868993e-01
     2.46110751e+04            2.46110751e+04     7.59138211e-02     1.32933942e-01     1.56868993e-01
     2.48482475e+04            2.48482475e+04     7.05219875e-02     1.26041500e-01     1.54747609e-01
     2.50677825e+04            2.50677825e+04     6.50240821e-02     1.18391029e-01     1.50533529e-01
     2.52693499e+04            2.52693499e+04     5.94283743e-02     1.10028541e-01     1.44283741e-01
     2.54526466e+04            2.54526466e+04     5.37432806e-02     1.01004328e-01     1.36082763e-01
