t_Jacobi: 3.571198e-01 (7502 iterations) t_armadillo: 1.224100e-03
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     9.86742308e+00            9.86742308e+00     9.32133494e-03    -1.86179514e-02    -2.78651963e-02
     3.94435257e+01            3.94435257e+01     1.86179514e-02    -3.70385478e-02    -5.50665265e-02
     8.86498773e+01            8.86498773e+01     2.78651963e-02    -5.50665265e-02    -8.09559402e-02
     1.57355992e+02            1.57355992e+02     3.70385478e-02    -7.25107862e-02    -1.04916643e-01
     2.45379672e+02            2.45379672e+02     4.61136797e-02    -8.91864136e-02    -1.26377789e-01
     3.52487496e+02            3.52487496e+02     5.50665265e-02    -1.04916643e-01    -1.44828085e-01
     4.78395433e+02            4.78395433e+02     6.38733466e-02    -1.19534729e-01    -1.59827967e-01
     6.22769597e+02            6.22769597e+02     7.25107862e-02    -1.32885718e-01    -1.71020074e-01
     7.85227134e+02            7.85227134e+02     8.09559402e-02    -1.44828085e-01    -1.78137763e-01
     9.65337236e+02            9.65337236e+02     8.91864136e-02    -1.55235239e-01    -1.81011461e-01
     1.16262228e+03            1.16262228e+03     9.71803806e-02    -1.63996860e-01    -1.79572704e-01
     1.37655911e+03            1.37655911e+03     1.04916643e-01    -1.71020074e-01    -1.73855770e-01
     1.60658040e+03            1.60658040e+03     1.12374685e-01    -1.76230432e-01    -1.63996860e-01
     1.85207617e+03            1.85207617e+03     1.19534729e-01    -1.79572704e-01    -1.50230855e-01
     2.11239541e+03            2.11239541e+03     1.26377789e-01    -1.81011461e-01    -1.32885718e-01
     2.38684781e+03            2.38684781e+03     1.32885718e-01    -1.80531451e-01    -1.12374685e-01
     2.67470556e+03            2.67470556e+03     1.39041258e-01    -1.78137763e-01    -8.91864136e-02
     2.97520532e+03            2.97520532e+03     1.44828085e-01    -1.73855770e-01    -6.38733466e-02
     3.28755022e+03            3.28755022e+03     1.50230855e-01    -1.67730863e-01    -3.70385478e-02
     3.61091197e+03            3.61091197e+03     1.55235239e-01    -1.59827967e-01    -9.32133494e-03
     3.94443308e+03            3.94443308e+03     1.59827967e-01    -1.50230855e-01     1.86179514e-02
     4.28722910e+03            4.28722910e+03     1.63996860e-01    -1.39041258e-01     4.61136797e-02
     4.63839102e+03            4.63839102e+03     1.67730863e-01    -1.26377789e-01     7.25107862e-02
     4.99698759e+03            4.99698759e+03     1.71020074e-01    -1.12374685e-01     9.71803806e-02
     5.36206791e+03            5.36206791e+03     1.73855770e-01    -9.71803806e-02     1.19534729e-01
     5.73266382e+03            5.73266382e+03     1.76230432e-01    -8.09559402e-02     1.39041258e-01
     6.10779259e+03            6.10779259e+03     1.78137763e-01    -6.38733466e-02     1.55235239e-01
     6.48645944e+03            6.48645944e+03     1.79572704e-01    -4.61136797e-02     1.67730863e-01
     6.86766021e+03            6.86766021e+03     1.80531451e-01    -2.78651963e-02     1.76230432e-01
     7.25038403e+03            7.25038403e+03     1.81011461e-01    -9.32133494e-03     1.80531451e-01
     7.63361597e+03            7.63361597e+03     1.81011461e-01     9.32133494e-03     1.80531451e-01
     8.01633979e+03            8.01633979e+03     1.80531451e-01     2.78651963e-02     1.76230432e-01
     8.39754056e+03            8.39754056e+03     1.79572704e-01     4.61136797e-02     1.67730863e-01
     8.77620741e+03            8.77620741e+03     1.78137763e-01     6.38733466e-02     1.55235239e-01
     9.15133618e+03            9.15133618e+03     1.76230432e-01     8.09559402e-02     1.39041258e-01
     9.52193209e+03            9.52193209e+03     1.73855770e-01     9.71803806e-02     1.19534729e-01
     9.88701241e+03            9.88701241e+03     1.71020074e-01     1.12374685e-01     9.71803806e-02
     1.02456090e+04            1.02456090e+04     1.67730863e-01     1.26377789e-01     7.25107862e-02
     1.05967709e+04            1.05967709e+04     1.63996860e-01     1.39041258e-01     4.61136797e-02
     1.09395669e+04            1.09395669e+04     1.59827967e-01     1.50230855e-01     1.86179514e-02
     1.12730880e+04            1.12730880e+04     1.55235239e-01     1.59827967e-01    -9.32133494e-03
     1.15964498e+04            1.15964498e+04     1.50230855e-01     1.67730863e-01    -3.70385478e-02
     1.19087947e+04            1.19087947e+04     1.44828085e-01     1.73855770e-01    -6.38733466e-02
     1.22092944e+04            1.22092944e+04     1.39041258e-01     1.78137763e-01    -8.91864136e-02
     1.24971522e+04            1.24971522e+04     1.32885718e-01     1.80531451e-01    -1.12374685e-01
     1.27716046e+04            1.27716046e+04     1.26377789e-01     1.81011461e-01    -1.32885718e-01
     1.30319238e+04            1.30319238e+04     1.19534729e-01     1.79572704e-01    -1.50230855e-01
     1.32774196e+04            1.32774196e+04     1.12374685e-01     1.76230432e-01    -1.63996860e-01
     1.35074409e+04            1.35074409e+04     1.04916643e-01     1.71020074e-01    -1.73855770e-01
     1.37213777e+04            1.37213777e+04     9.71803806e-02     1.63996860e-01    -1.79572704e-01
     1.39186628e+04            1.39186628e+04     8.91864136e-02     1.55235239e-01    -1.81011461e-01
     1.40987729e+04            1.40987729e+04     8.09559402e-02     1.44828085e-01    -1.78137763e-01
     1.42612304e+04            1.42612304e+04     7.25107862e-02     1.32885718e-01    -1.71020074e-01
     1.44056046e+04            1.44056046e+04     6.38733466e-02     1.19534729e-01    -1.59827967e-01
     1.45315125e+04            1.45315125e+04     5.50665265e-02     1.04916643e-01    -1.44828085e-01
     1.46386203e+04            1.46386203e+04     4.61136797e-02     8.91864136e-02    -1.26377789e-01
     1.47266440e+04            1.47266440e+04     3.70385478e-02     7.25107862e-02    -1.04916643e-01
     1.47953501e+04            1.47953501e+04     2.78651963e-02     5.50665265e-02    -8.09559402e-02
     1.48445565e+04            1.48445565e+04     1.86179514e-02     3.70385478e-02    -5.50665265e-02
     1.48741326e+04            1.48741326e+04     9.32133494e-03     1.86179514e-02    -2.78651963e-02
