t_Jacobi: 2.046207e+02 (192011 iterations) t_armadillo: 6.314440e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     9.86951481e+00            9.86951481e+00     8.50760352e-04     1.70142803e-03     2.55191036e-03
     3.94769841e+01            3.94769841e+01     1.70142803e-03     3.40211470e-03     5.10131900e-03
     8.88191826e+01            8.88191826e+01     2.55191036e-03     5.10131900e-03     7.64572664e-03
     1.57890735e+02            1.57890735e+02     3.40211470e-03     6.79830052e-03     1.01826389e-02
     2.46684118e+02            2.46684118e+02     4.25194844e-03     8.49231987e-03     1.27095688e-02
     3.55189658e+02            3.55189658e+02     5.10131900e-03     1.01826389e-02     1.52240391e-02
     4.83395536e+02            4.83395536e+02     5.95013385e-03     1.18685212e-02     1.77235848e-02
     6.31287785e+02            6.31287785e+02     6.79830052e-03     1.35492320e-02     2.02057554e-02
     7.98850295e+02            7.98850295e+02     7.64572664e-03     1.52240391e-02     2.26681177e-02
     9.86064812e+02            9.86064812e+02     8.49231987e-03     1.68922128e-02     2.51082576e-02
     1.19291094e+03            1.19291094e+03     9.33798801e-03     1.85530261e-02     2.75237831e-02
     1.41936616e+03            1.41936616e+03     1.01826389e-02     2.02057554e-02     2.99123261e-02
     1.66540578e+03            1.66540578e+03     1.10261806e-02     2.18496806e-02     3.22715450e-02
     1.93100302e+03            1.93100302e+03     1.18685212e-02     2.34840854e-02     3.45991271e-02
     2.21612893e+03            2.21612893e+03     1.27095688e-02     2.51082576e-02     3.68927905e-02
     2.52075246e+03            2.52075246e+03     1.35492320e-02     2.67214896e-02     3.91502867e-02
     2.84484043e+03            2.84484043e+03     1.43874192e-02     2.83230783e-02     4.13694025e-02
     3.18835753e+03            3.18835753e+03     1.52240391e-02     2.99123261e-02     4.35479625e-02
     3.55126633e+03            3.55126633e+03     1.60590006e-02     3.14885403e-02     4.56838310e-02
     3.93352732e+03            3.93352732e+03     1.68922128e-02     3.30510343e-02     4.77749142e-02
     4.33509884e+03            4.33509884e+03     1.77235848e-02     3.45991271e-02     4.98191619e-02
     4.75593714e+03            4.75593714e+03     1.85530261e-02     3.61321443e-02     5.18145703e-02
     5.19599640e+03            5.19599640e+03     1.93804463e-02     3.76494178e-02     5.37591832e-02
     5.65522867e+03            5.65522867e+03     2.02057554e-02     3.91502867e-02     5.56510941e-02
     6.13358392e+03            6.13358392e+03     2.10288634e-02     4.06340968e-02     5.74884484e-02
     6.63101004e+03            6.63101004e+03     2.18496806e-02     4.21002017e-02     5.92694448e-02
     7.14745285e+03            7.14745285e+03     2.26681177e-02     4.35479625e-02     6.09923375e-02
     7.68285610e+03            7.68285610e+03     2.34840854e-02     4.49767485e-02     6.26554373e-02
     8.23716144e+03            8.23716144e+03     2.42974949e-02     4.63859370e-02     6.42571139e-02
     8.81030852e+03            8.81030852e+03     2.51082576e-02     4.77749142e-02     6.57957971e-02
     9.40223488e+03            9.40223488e+03     2.59162852e-02     4.91430746e-02     6.72699785e-02
     1.00128761e+04            1.00128761e+04     2.67214896e-02     5.04898223e-02     6.86782129e-02
     1.06421655e+04            1.06421655e+04     2.75237831e-02     5.18145703e-02     7.00191198e-02
     1.12900347e+04            1.12900347e+04     2.83230783e-02     5.31167416e-02     7.12913845e-02
     1.19564131e+04            1.19564131e+04     2.91192882e-02     5.43957686e-02     7.24937600e-02
     1.26412280e+04            1.26412280e+04     2.99123261e-02     5.56510941e-02     7.36250674e-02
     1.33444049e+04            1.33444049e+04     3.07021054e-02     5.68821711e-02     7.46841977e-02
     1.40658672e+04            1.40658672e+04     3.14885403e-02     5.80884632e-02     7.56701125e-02
     1.48055362e+04            1.48055362e+04     3.22715450e-02     5.92694448e-02     7.65818455e-02
     1.55633315e+04            1.55633315e+04     3.30510343e-02     6.04246014e-02     7.74185027e-02
     1.63391704e+04            1.63391704e+04     3.38269231e-02     6.15534295e-02     7.81792639e-02
     1.71329685e+04            1.71329685e+04     3.45991271e-02     6.26554373e-02     7.88633835e-02
     1.79446392e+04            1.79446392e+04     3.53675621e-02     6.37301447e-02     7.94701906e-02
     1.87740942e+04            1.87740942e+04     3.61321443e-02     6.47770834e-02     7.99990904e-02
     1.96212431e+04            1.96212431e+04     3.68927905e-02     6.57957971e-02     8.04495645e-02
     2.04859935e+04            2.04859935e+04     3.76494178e-02     6.67858421e-02     8.08211711e-02
     2.13682514e+04            2.13682514e+04     3.84019439e-02     6.77467869e-02     8.11135461e-02
     2.22679206e+04            2.22679206e+04     3.91502867e-02     6.86782129e-02     8.13264028e-02
     2.31849031e+04            2.31849031e+04     3.98943646e-02     6.95797142e-02     8.14595325e-02
     2.41190991e+04            2.41190991e+04     4.06340968e-02     7.04508979e-02     8.15128046e-02
     2.50704066e+04            2.50704066e+04     4.13694025e-02     7.12913845e-02     8.14861671e-02
     2.60387222e+04            2.60387222e+04     4.21002017e-02     7.21008078e-02     8.13796459e-02
     2.70239403e+04            2.70239403e+04     4.28264147e-02     7.28788151e-02     8.11933456e-02
     2.80259536e+04            2.80259536e+04     4.35479625e-02     7.36250674e-02     8.09274487e-02
     2.90446530e+04            2.90446530e+04     4.42647665e-02     7.43392395e-02     8.05822160e-02
     3.00799274e+04            3.00799274e+04     4.49767485e-02     7.50210202e-02     8.01579858e-02
     3.11316642e+04            3.11316642e+04     4.56838310e-02     7.56701125e-02     7.96551741e-02
     3.21997487e+04            3.21997487e+04     4.63859370e-02     7.62862336e-02     7.90742737e-02
     3.32840645e+04            3.32840645e+04     4.70829901e-02     7.68691150e-02     7.84158542e-02
     3.43844937e+04            3.43844937e+04     4.77749142e-02     7.74185027e-02     7.76805610e-02
     3.55009162e+04            3.55009162e+04     4.84616339e-02     7.79341573e-02     7.68691150e-02
     3.66332105e+04            3.66332105e+04     4.91430746e-02     7.84158542e-02     7.59823116e-02
     3.77812533e+04            3.77812533e+04     4.98191619e-02     7.88633835e-02     7.50210202e-02
     3.89449194e+04            3.89449194e+04     5.04898223e-02     7.92765501e-02     7.39861832e-02
     4.01240822e+04            4.01240822e+04     5.11549826e-02     7.96551741e-02     7.28788151e-02
     4.13186131e+04            4.13186131e+04     5.18145703e-02     7.99990904e-02     7.17000014e-02
     4.25283820e+04            4.25283820e+04     5.24685137e-02     8.03081493e-02     7.04508979e-02
     4.37532572e+04            4.37532572e+04     5.31167416e-02     8.05822160e-02     6.91327290e-02
     4.49931052e+04            4.49931052e+04     5.37591832e-02     8.08211711e-02     6.77467869e-02
     4.62477909e+04            4.62477909e+04     5.43957686e-02     8.10249106e-02     6.62944305e-02
     4.75171778e+04            4.75171778e+04     5.50264285e-02     8.11933456e-02     6.47770834e-02
     4.88011274e+04            4.88011274e+04     5.56510941e-02     8.13264028e-02     6.31962331e-02
     5.00995000e+04            5.00995000e+04     5.62696974e-02     8.14240241e-02     6.15534295e-02
     5.14121541e+04            5.14121541e+04     5.68821711e-02     8.14861671e-02     5.98502830e-02
     5.27389467e+04            5.27389467e+04     5.74884484e-02     8.15128046e-02     5.80884632e-02
     5.40797332e+04            5.40797332e+04     5.80884632e-02     8.15039251e-02     5.62696974e-02
     5.54343677e+04            5.54343677e+04     5.86821503e-02     8.14595325e-02     5.43957686e-02
     5.68027025e+04            5.68027025e+04     5.92694448e-02     8.13796459e-02     5.24685137e-02
     5.81845886e+04            5.81845886e+04     5.98502830e-02     8.12643004e-02     5.04898223e-02
     5.95798755e+04            5.95798755e+04     6.04246014e-02     8.11135461e-02     4.84616339e-02
