t_Jacobi: 2.844241e+01 (177170 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     3.49988485e-01            3.49988485e-01     1.48868713e-03     2.58158887e-03     3.55430077e-03
     5.32437356e-01            5.32437356e-01     3.16600639e-03     5.48197398e-03     7.53578872e-03
     7.19277577e-01            7.19277577e-01     5.03413314e-03     8.69508124e-03     1.19222949e-02
     9.08923709e-01            9.08923709e-01     7.09417645e-03     1.22116559e-02     1.66855632e-02
     1.10046815e+00            1.10046815e+00     9.34614789e-03     1.60192624e-02     2.17914317e-02
     1.29335780e+00            1.29335780e+00     1.17889380e-02     2.01023170e-02     2.72000972e-02
     1.48723638e+00            1.48723638e+00     1.44203006e-02     2.44421525e-02     3.28664599e-02
     1.68186353e+00            1.68186353e+00     1.72368458e-02     2.90171162e-02     3.87405455e-02
     1.87707065e+00            1.87707065e+00     2.02340409e-02     3.38026985e-02     4.47679995e-02
     2.07273563e+00            2.07273563e+00     2.34062201e-02     3.87716939e-02     5.08906489e-02
     2.26876760e+00            2.26876760e+00     2.67466025e-02     4.38943896e-02     5.70471239e-02
     2.46509732e+00            2.46509732e+00     3.02473185e-02     4.91387833e-02     6.31735321e-02
     2.66167125e+00            2.66167125e+00     3.38994443e-02     5.44708262e-02     6.92041779e-02
     2.85844974e+00            2.85844974e+00     3.76930445e-02     5.98546893e-02     7.50723162e-02
     3.05542397e+00            3.05542397e+00     4.16172226e-02     6.52530505e-02     8.07109323e-02
     3.25272916e+00            3.25272916e+00     4.56601779e-02     7.06274000e-02     8.60535371e-02
     3.45108074e+00            3.45108074e+00     4.98092704e-02     7.59383600e-02     9.10349676e-02
     3.65265948e+00            3.65265948e+00     5.40510909e-02     8.11460168e-02     9.55921818e-02
     3.86145478e+00            3.86145478e+00     5.83715379e-02     8.62102602e-02     9.96650380e-02
     4.08168183e+00            4.08168183e+00     6.27558987e-02     9.10911282e-02     1.03197048e-01
     4.31583356e+00            4.31583356e+00     6.71889358e-02     9.57491531e-02     1.06136093e-01
     4.56458968e+00            4.56458968e+00     7.16549765e-02     1.00145705e-01     1.08435097e-01
     4.82774521e+00            4.82774521e+00     7.61380059e-02     1.04243329e-01     1.10052640e-01
     5.10486604e+00            5.10486604e+00     8.06217621e-02     1.08006074e-01     1.10953516e-01
     5.39553390e+00            5.39553390e+00     8.50898332e-02     1.11399809e-01     1.11109213e-01
     5.69940157e+00            5.69940157e+00     8.95257546e-02     1.14392521e-01     1.10498320e-01
     6.01619023e+00            6.01619023e+00     9.39131070e-02     1.16954598e-01     1.09106856e-01
     6.34567524e+00            6.34567524e+00     9.82356128e-02     1.19059089e-01     1.06928503e-01
     6.68767256e+00            6.68767256e+00     1.02477232e-01     1.20681936e-01     1.03964763e-01
     7.04202824e+00            7.04202824e+00     1.06622255e-01     1.21802188e-01     1.00225008e-01
     7.40861069e+00            7.40861069e+00     1.10655394e-01     1.22402177e-01     9.57264558e-02
     7.78730500e+00            7.78730500e+00     1.14561866e-01     1.22467671e-01     9.04940376e-02
     8.17800886e+00            8.17800886e+00     1.18327481e-01     1.21987994e-01     8.45601890e-02
     8.58062949e+00            8.58062949e+00     1.21938714e-01     1.20956112e-01     7.79645483e-02
     8.99508138e+00            8.99508138e+00     1.25382782e-01     1.19368689e-01     7.07535733e-02
     9.42128457e+00            9.42128457e+00     1.28647706e-01     1.17226106e-01     6.29800816e-02
     9.85916332e+00            9.85916332e+00     1.31722375e-01     1.14532455e-01     5.47027194e-02
     1.03086451e+01            1.03086451e+01     1.34596597e-01     1.11295490e-01     4.59853654e-02
     1.07696597e+01            1.07696597e+01     1.37261148e-01     1.07526554e-01     3.68964788e-02
     1.12421388e+01            1.12421388e+01     1.39707809e-01     1.03240478e-01     2.75083985e-02
     1.17260154e+01            1.17260154e+01     1.41929400e-01     9.84554374e-02     1.78966037e-02
     1.22212231e+01            1.22212231e+01     1.43919805e-01     9.31927995e-02     8.13894306e-03
     1.27276963e+01            1.27276963e+01     1.45673988e-01     8.74769316e-02    -1.68515517e-03
     1.32453696e+01            1.32453696e+01     1.47188006e-01     8.13349925e-02    -1.14954853e-02
     1.37741776e+01            1.37741776e+01     1.48459009e-01     7.47967018e-02    -2.12118668e-02
     1.43140548e+01            1.43140548e+01     1.49485235e-01     6.78940912e-02    -3.07549396e-02
     1.48649354e+01            1.48649354e+01     1.50266002e-01     6.06612405e-02    -4.00469407e-02
     1.54267533e+01            1.54267533e+01     1.50801687e-01     5.31340004e-02    -4.90124562e-02
     1.59994418e+01            1.59994418e+01     1.51093704e-01     4.53497065e-02    -5.75791371e-02
     1.65829337e+01            1.65829337e+01     1.51144470e-01     3.73468854e-02    -6.56783742e-02
     1.71771612e+01            1.71771612e+01     1.50957373e-01     2.91649573e-02    -7.32459228e-02
     1.77820555e+01            1.77820555e+01     1.50536728e-01     2.08439376e-02    -8.02224717e-02
     1.83975475e+01            1.83975475e+01     1.49887731e-01     1.24241398e-02    -8.65541518e-02
     1.90235669e+01            1.90235669e+01     1.49016410e-01     3.94588282e-03    -9.21929780e-02
     1.96600428e+01            1.96600428e+01     1.47929570e-01    -4.55079469e-03    -9.70972229e-02
     2.03069032e+01            2.03069032e+01     1.46634736e-01    -1.30264109e-02    -1.01231717e-01
     2.09640756e+01            2.09640756e+01     1.45140091e-01    -2.14423054e-02    -1.04568078e-01
     2.16314862e+01            2.16314862e+01     1.43454418e-01    -2.97608907e-02    -1.07084859e-01
     2.23090604e+01            2.23090604e+01     1.41587031e-01    -3.79458877e-02    -1.08767632e-01
     2.29967229e+01            2.29967229e+01     1.39547713e-01    -4.59625441e-02    -1.09608989e-01
     2.36943970e+01            2.36943970e+01     1.37346649e-01    -5.37778344e-02    -1.09608477e-01
     2.44020056e+01            2.44020056e+01     1.34994361e-01    -6.13606399e-02    -1.08772460e-01
     2.51194701e+01            2.51194701e+01     1.32501641e-01    -6.86819081e-02    -1.07113920e-01
     2.58467113e+01            2.58467113e+01     1.29879489e-01    -7.57147906e-02    -1.04652194e-01
     2.65836489e+01            2.65836489e+01     1.27139044e-01    -8.24347591e-02    -1.01412653e-01
     2.73302016e+01            2.73302016e+01     1.24291530e-01    -8.88196989e-02    -9.74263373e-02
     2.80862873e+01            2.80862873e+01     1.21348189e-01    -9.48499812e-02    -9.27295321e-02
     2.88518228e+01            2.88518228e+01     1.18320227e-01    -1.00508512e-01    -8.73633189e-02
     2.96267239e+01            2.96267239e+01     1.15218758e-01    -1.05780762e-01    -8.13730832e-02
     3.04109055e+01            3.04109055e+01     1.12054752e-01    -1.10654770e-01    -7.48079995e-02
     3.12042816e+01            3.12042816e+01     1.08838989e-01    -1.15121134e-01    -6.77204950e-02
     3.20067652e+01            3.20067652e+01     1.05582008e-01    -1.19172980e-01    -6.01656992e-02
     3.28182683e+01            3.28182683e+01     1.02294070e-01    -1.22805906e-01    -5.22008865e-02
     3.36387020e+01            3.36387020e+01     9.89851164e-02    -1.26017919e-01    -4.38849171e-02
     3.44679765e+01            3.44679765e+01     9.56647379e-02    -1.28809356e-01    -3.52776829e-02
     3.53060011e+01            3.53060011e+01     9.23421404e-02    -1.31182777e-01    -2.64395637e-02
     3.61526840e+01            3.61526840e+01     8.90261195e-02    -1.33142869e-01    -1.74308997e-02
     3.70079327e+01            3.70079327e+01     8.57250374e-02    -1.34696313e-01    -8.31148338e-03
     3.78716537e+01            3.78716537e+01     8.24468032e-02    -1.35851663e-01     8.59921779e-04
     3.87437525e+01            3.87437525e+01     7.91988573e-02    -1.36619204e-01     1.00260348e-02
     3.96241340e+01            3.96241340e+01     7.59881595e-02    -1.37010808e-01     1.91314775e-02
     4.05127018e+01            4.05127018e+01     7.28211800e-02    -1.37039788e-01     2.81231594e-02
     4.14093590e+01            4.14093590e+01     6.97038943e-02    -1.36720740e-01     3.69506251e-02
     4.23140077e+01            4.23140077e+01     6.66417814e-02    -1.36069393e-01     4.55663616e-02
     4.32265491e+01            4.32265491e+01     6.36398244e-02    -1.35102455e-01     5.39260647e-02
     4.41468836e+01            4.41468836e+01     6.07025146e-02    -1.33837455e-01     6.19888637e-02
     4.50749108e+01            4.50749108e+01     5.78338578e-02    -1.32292595e-01     6.97175046e-02
     4.60105294e+01            4.60105294e+01     5.50373833e-02    -1.30486600e-01     7.70784907e-02
     4.69536372e+01            4.69536372e+01     5.23161549e-02    -1.28438573e-01     8.40421829e-02
     4.79041316e+01            4.79041316e+01     4.96727843e-02    -1.26167860e-01     9.05828596e-02
     4.88619086e+01            4.88619086e+01     4.71094460e-02    -1.23693911e-01     9.66787380e-02
     4.98268640e+01            4.98268640e+01     4.46278936e-02    -1.21036161e-01     1.02311960e-01
     5.07988924e+01            5.07988924e+01     4.22294781e-02    -1.18213907e-01     1.07468541e-01
     5.17778878e+01            5.17778878e+01     3.99151669e-02    -1.15246201e-01     1.12138291e-01
     5.27637436e+01            5.27637436e+01     3.76855635e-02    -1.12151744e-01     1.16314701e-01
     5.37563521e+01            5.37563521e+01     3.55409288e-02    -1.08948798e-01     1.19994805e-01
     5.47556052e+01            5.47556052e+01     3.34812022e-02    -1.05655098e-01     1.23179023e-01
     5.57613940e+01            5.57613940e+01     3.15060233e-02    -1.02287778e-01     1.25870974e-01
     5.67736087e+01            5.67736087e+01     2.96147539e-02    -9.88633069e-02     1.28077275e-01
     5.77921391e+01            5.77921391e+01     2.78065002e-02    -9.53974281e-02     1.29807334e-01
     5.88168741e+01            5.88168741e+01     2.60801342e-02    -9.19051145e-02     1.31073114e-01
     5.98477020e+01            5.98477020e+01     2.44343161e-02    -8.84005273e-02     1.31888905e-01
     6.08845105e+01            6.08845105e+01     2.28675149e-02    -8.48969859e-02     1.32271079e-01
     6.19271866e+01            6.19271866e+01     2.13780295e-02    -8.14069442e-02     1.32237849e-01
     6.29756165e+01            6.29756165e+01     1.99640089e-02    -7.79419759e-02     1.31809019e-01
     6.40296862e+01            6.40296862e+01     1.86234720e-02    -7.45127662e-02     1.31005749e-01
