t_Jacobi: 2.137149e+00 (20141 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     3.10248214e+02            3.10248214e+02     1.48194404e-01    -9.08052522e-02    -3.82004211e-02
     3.15623149e+02            3.15623149e+02     1.46795350e-01    -9.81662360e-02    -2.43402019e-02
     3.20890535e+02            3.20890535e+02     1.45165222e-01    -1.05016579e-01    -1.02243569e-02
     3.26045269e+02            3.26045269e+02     1.43303805e-01    -1.11318636e-01     3.99906235e-03
     3.31082355e+02            3.31082355e+02     1.41211402e-01    -1.17037436e-01     1.81803317e-02
     3.35996911e+02            3.35996911e+02     1.38888846e-01    -1.22140909e-01     3.21696545e-02
     3.40784172e+02            3.40784172e+02     1.36337500e-01    -1.26600094e-01     4.58187711e-02
     3.45439496e+02            3.45439496e+02     1.33559260e-01    -1.30389328e-01     5.89825622e-02
     3.49958366e+02            3.49958366e+02     1.30556559e-01    -1.33486417e-01     7.15206253e-02
     3.54336397e+02            3.54336397e+02     1.27332364e-01    -1.35872798e-01     8.32988094e-02
     3.58569336e+02            3.58569336e+02     1.23890177e-01    -1.37533665e-01     9.41906889e-02
     3.62653072e+02            3.62653072e+02     1.20234036e-01    -1.38458088e-01     1.04078961e-01
     3.66583633e+02            3.66583633e+02     1.16368502e-01    -1.38639101e-01     1.12856750e-01
     3.70357195e+02            3.70357195e+02     1.12298662e-01    -1.38073772e-01     1.20428806e-01
     3.73970080e+02            3.73970080e+02     1.08030121e-01    -1.36763248e-01     1.26712576e-01
     3.77418766e+02            3.77418766e+02     1.03568989e-01    -1.34712778e-01     1.31639149e-01
     3.80699880e+02            3.80699880e+02     9.89218773e-02    -1.31931709e-01     1.35154052e-01
     3.83810209e+02            3.83810209e+02     9.40958844e-02    -1.28433463e-01     1.37217888e-01
     3.86746698e+02            3.86746698e+02     8.90985854e-02    -1.24235483e-01     1.37806821e-01
     3.89506449e+02            3.89506449e+02     8.39380176e-02    -1.19359163e-01     1.36912879e-01
     3.92086728e+02            3.92086728e+02     7.86226664e-02    -1.13829747e-01     1.34544097e-01
     3.94484955e+02            3.94484955e+02     7.31614488e-02    -1.07676209e-01     1.30724479e-01
     3.96698712e+02            3.96698712e+02     6.75636964e-02    -1.00931110e-01     1.25493784e-01
     3.98725727e+02            3.98725727e+02     6.18391369e-02    -9.36304341e-02     1.18907136e-01
     4.00563878e+02            4.00563878e+02     5.59978744e-02    -8.58133983e-02     1.11034474e-01
     4.02211166e+02            4.02211166e+02     5.00503687e-02    -7.75222487e-02     1.01959824e-01
     4.03665700e+02            4.03665700e+02     4.40074138e-02    -6.88020340e-02     9.17804259e-02
     4.04925640e+02            4.04925640e+02     3.78801146e-02    -5.97003629e-02     8.06056986e-02
     4.05989114e+02            4.05989114e+02     3.16798635e-02    -5.02671438e-02     6.85560816e-02
     4.06854000e+02            4.06854000e+02     2.54183154e-02    -4.05543111e-02     5.57617422e-02
     4.07517354e+02            4.07517354e+02     1.91073627e-02    -3.06155367e-02     4.23611755e-02
     4.07972941e+02            4.07972941e+02     1.27591085e-02    -2.05059316e-02     2.84997071e-02
     4.08289130e+02            4.08289130e+02     6.38583984e-03    -1.02817355e-02     1.43279170e-02
