t_Jacobi: 1.814425e+02 (171747 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     1.74396585e+01            1.74396585e+01     2.58988140e-02    -3.32106876e-02    -3.79037152e-02
     3.70292453e+01            3.70292453e+01     5.21603198e-02    -6.61683884e-02    -7.46936540e-02
     5.67501180e+01            5.67501180e+01     7.82906039e-02    -9.75289457e-02    -1.08054834e-01
     7.65124161e+01            7.65124161e+01     1.03802349e-01    -1.26010217e-01    -1.35873978e-01
     9.62847446e+01            9.62847446e+01     1.28228745e-01    -1.50449365e-01    -1.56377060e-01
     1.16052746e+02            1.16052746e+02     1.51136536e-01    -1.69853762e-01    -1.68243205e-01
     1.35808732e+02            1.35808732e+02     1.72137688e-01    -1.83442847e-01    -1.70687076e-01
     1.55548125e+02            1.55548125e+02     1.90899256e-01    -1.90678895e-01    -1.63504371e-01
     1.75267990e+02            1.75267990e+02     2.07151100e-01    -1.91285291e-01    -1.47077881e-01
     1.94966330e+02            1.94966330e+02     2.20691230e-01    -1.85251728e-01    -1.22344570e-01
     2.14641721e+02            2.14641721e+02     2.31388637e-01    -1.72826458e-01    -9.07269867e-02
     2.34293111e+02            2.34293111e+02     2.39183636e-01    -1.54496528e-01    -5.40348624e-02
     2.53919699e+02            2.53919699e+02     2.44085796e-01    -1.30957523e-01    -1.43447120e-02
     2.73520852e+02            2.73520852e+02     2.46169694e-01    -1.03074916e-01     2.61334615e-02
     2.93096065e+02            2.93096065e+02     2.45568760e-01    -7.18394630e-02     6.51927195e-02
     3.12644920e+02            3.12644920e+02     2.42467593e-01    -3.83192835e-02     1.00759607e-01
     3.32167070e+02            3.32167070e+02     2.37093124e-01    -3.61130145e-03     1.31009990e-01
     3.51662215e+02            3.51662215e+02     2.29705075e-01     3.12054335e-02     1.54463401e-01
     3.71130100e+02            3.71130100e+02     2.20586110e-01     6.51123050e-02     1.70050927e-01
     3.90570496e+02            3.90570496e+02     2.10032087e-01     9.71877316e-02     1.77153897e-01
     4.09983202e+02            4.09983202e+02     1.98342778e-01     1.26636454e-01     1.75612847e-01
     4.29368037e+02            4.29368037e+02     1.85813349e-01     1.52810672e-01     1.65708368e-01
     4.48724834e+02            4.48724834e+02     1.72726852e-01     1.75222718e-01     1.48117249e-01
     4.68053440e+02            4.68053440e+02     1.59347906e-01     1.93549455e-01     1.23848756e-01
     4.87353713e+02            4.87353713e+02     1.45917669e-01     2.07629000e-01     9.41667810e-02
     5.06625520e+02            5.06625520e+02     1.32650144e-01     2.17450755e-01     6.05040507e-02
     5.25868736e+02            5.25868736e+02     1.19729797e-01     2.23139949e-01     2.43744913e-02
     5.45083239e+02            5.45083239e+02     1.07310410e-01     2.24938090e-01    -1.27106569e-02
     5.64268917e+02            5.64268917e+02     9.55150578e-02     2.23180725e-01    -4.93182235e-02
     5.83425658e+02            5.83425658e+02     8.44370536e-02     2.18273944e-01    -8.41563392e-02
     6.02553356e+02            6.02553356e+02     7.41416994e-02     2.10670871e-01    -1.16123081e-01
     6.21651908e+02            6.21651908e+02     6.46686606e-02     2.00849289e-01    -1.44339348e-01
     6.40721212e+02            6.40721212e+02     5.60347866e-02     1.89291275e-01    -1.68165941e-01
     6.59761172e+02            6.59761172e+02     4.82372070e-02     1.76465527e-01    -1.87205861e-01
     6.78771689e+02            6.78771689e+02     4.12565490e-02     1.62812807e-01    -2.01293616e-01
     6.97752668e+02            6.97752668e+02     3.50601391e-02     1.48734695e-01    -2.10473935e-01
     7.16704017e+02            7.16704017e+02     2.96050784e-02     1.34585673e-01    -2.14972582e-01
     7.35625641e+02            7.35625641e+02     2.48411016e-02     1.20668355e-01    -2.15162076e-01
     7.54517449e+02            7.54517449e+02     2.07131565e-02     1.07231560e-01    -2.11525011e-01
     7.73379350e+02            7.73379350e+02     1.71636614e-02     9.44708473e-02    -2.04617378e-01
     7.92211253e+02            7.92211253e+02     1.41344217e-02     8.25310497e-02    -1.95033941e-01
     8.11013068e+02            8.11013068e+02     1.15681990e-02     7.15103427e-02    -1.83377210e-01
     8.29784706e+02            8.29784706e+02     9.40994832e-03     6.14653843e-02    -1.70231113e-01
     8.48526076e+02            8.48526076e+02     7.60774238e-03     5.24171015e-02    -1.56139979e-01
     8.67237088e+02            8.67237088e+02     6.11341549e-03     4.43567422e-02    -1.41593014e-01
     8.85917654e+02            8.85917654e+02     4.88296186e-03     3.72518788e-02    -1.27014111e-01
     9.04567684e+02            9.04567684e+02     3.87672623e-03     3.10521101e-02    -1.12756540e-01
     9.23187089e+02            9.23187089e+02     3.05942475e-03     2.56942779e-02    -9.91018714e-02
     9.41775777e+02            9.41775777e+02     2.40003269e-03     2.11070754e-02    -8.62623692e-02
     9.60333660e+02            9.60333660e+02     1.87157250e-03     1.72149793e-02    -7.43860428e-02
     9.78860647e+02            9.78860647e+02     1.45083217e-03     1.39414858e-02    -6.35635620e-02
     9.97356647e+02            9.97356647e+02     1.11803958e-03     1.12116685e-02    -5.38362993e-02
     1.01582157e+03            1.01582157e+03     8.56514512e-04     8.95410309e-03    -4.52048601e-02
     1.03425532e+03            1.03425532e+03     6.52315198e-04     7.10222385e-03    -3.76375689e-02
     1.05265781e+03            1.05265781e+03     4.93892957e-04     5.59518945e-03    -3.10785039e-02
     1.07102895e+03            1.07102895e+03     3.71764358e-04     4.37833844e-03    -2.54547864e-02
     1.08936865e+03            1.08936865e+03     2.78207588e-04     3.40331554e-03    -2.06829419e-02
     1.10767680e+03            1.10767680e+03     2.06986937e-04     2.62794468e-03    -1.66742412e-02
     1.12595332e+03            1.12595332e+03     1.53107280e-04     2.01591734e-03    -1.33390073e-02
     1.14419811e+03            1.14419811e+03     1.12598766e-04     1.53635601e-03    -1.05899334e-02
     1.16241107e+03            1.16241107e+03     8.23307427e-05     1.16330244e-03    -8.34449775e-03
     1.18059212e+03            1.18059212e+03     5.98530894e-05     8.75171145e-04    -6.52658659e-03
     1.19874115e+03            1.19874115e+03     4.32625959e-05     6.54199037e-04    -5.06745246e-03
     1.21685806e+03            1.21685806e+03     3.10917518e-05     4.85914058e-04    -3.90613312e-03
     1.23494276e+03            1.23494276e+03     2.22172041e-05     3.58638540e-04    -2.98945414e-03
     1.25299515e+03            1.25299515e+03     1.57851980e-05     2.63037039e-04    -2.27172529e-03
     1.27101513e+03            1.27101513e+03     1.11514607e-05     1.91713694e-04    -1.71422725e-03
     1.28900260e+03            1.28900260e+03     7.83319821e-06     1.38860532e-04    -1.28456908e-03
     1.30695745e+03            1.30695745e+03     5.47112351e-06     9.99554669e-05    -9.55980918e-04
     1.32487959e+03            1.32487959e+03     3.79969078e-06     7.15069641e-05    -7.06591452e-04
     1.34276891e+03            1.34276891e+03     2.62396781e-06     5.08411882e-05    -5.18726317e-04
     1.36062531e+03            1.36062531e+03     1.80181970e-06     3.59268904e-05    -3.78251823e-04
     1.37844868e+03            1.37844868e+03     1.23029910e-06     2.52331065e-05    -2.73979185e-04
     1.39623891e+03            1.39623891e+03     8.35334684e-07     1.76148569e-05    -1.97136837e-04
     1.41399591e+03            1.41399591e+03     5.63981082e-07     1.22223462e-05    -1.40912843e-04
     1.43171955e+03            1.43171955e+03     3.78639991e-07     8.42959082e-06    -1.00065402e-04
     1.44940974e+03            1.44940974e+03     2.52784230e-07     5.77888303e-06    -7.05968034e-05
     1.46706636e+03            1.46706636e+03     1.67818015e-07     3.93799838e-06    -4.94846191e-05
     1.48468930e+03            1.48468930e+03     1.10788779e-07     2.66753300e-06    -3.44631661e-05
     1.50227844e+03            1.50227844e+03     7.27319087e-08     1.79620061e-06    -2.38481575e-05
     1.51983369e+03            1.51983369e+03     4.74820621e-08     1.20231569e-06    -1.63977230e-05
     1.53735491e+03            1.53735491e+03     3.08256921e-08     8.00033995e-07    -1.12035348e-05
     1.55484200e+03            1.55484200e+03     1.99011435e-08     5.29214819e-07    -7.60646015e-06
     1.57229483e+03            1.57229483e+03     1.27769841e-08     3.48013695e-07    -5.13190746e-06
     1.58971329e+03            1.58971329e+03     8.15768545e-09     2.27514141e-07    -3.44077231e-06
     1.60709727e+03            1.60709727e+03     5.17960859e-09     1.47868247e-07    -2.29258634e-06
     1.62444663e+03            1.62444663e+03     3.27055441e-09     9.55437920e-08    -1.51809670e-06
     1.64176126e+03            1.64176126e+03     2.05372971e-09     6.13758364e-08    -9.99051955e-07
     1.65904104e+03            1.65904104e+03     1.28252444e-09     3.91981872e-08    -6.53434649e-07
     1.67628583e+03            1.67628583e+03     7.96510349e-10     2.48893870e-08    -4.24768098e-07
     1.69349552e+03            1.69349552e+03     4.91952896e-10     1.57125972e-08    -2.74439824e-07
     1.71066997e+03            1.71066997e+03     3.02179378e-10     9.86218328e-09    -1.76237138e-07
     1.72780906e+03            1.72780906e+03     1.84594245e-10     6.15453292e-09    -1.12489514e-07
     1.74491266e+03            1.74491266e+03     1.12146681e-10     3.81873533e-09    -7.13674087e-08
     1.76198063e+03            1.76198063e+03     6.77598481e-11     2.35587271e-09    -4.50059364e-08
     1.77901284e+03            1.77901284e+03     4.07172918e-11     1.44509748e-09    -2.82117558e-08
     1.79600916e+03            1.79600916e+03     2.43337222e-11     8.81374882e-10    -1.75787944e-08
     1.81296945e+03            1.81296945e+03     1.44631921e-11     5.34499663e-10    -1.08881653e-08
     1.82989357e+03            1.82989357e+03     8.54965796e-12     3.22301552e-10    -6.70401145e-09
     1.84678138e+03            1.84678138e+03     5.02648821e-12     1.93245956e-10    -4.10333325e-09
     1.86363274e+03            1.86363274e+03     2.93909138e-12     1.15211607e-10    -2.49671064e-09
     1.88044751e+03            1.88044751e+03     1.70921731e-12     6.83005982e-11    -1.51020609e-09
     1.89722554e+03            1.89722554e+03     9.88599671e-13     4.02624150e-11    -9.08129587e-10
     1.91396669e+03            1.91396669e+03     5.68700549e-13     2.36008034e-11    -5.42887584e-10
     1.93067080e+03            1.93067080e+03     3.25383206e-13     1.37565586e-11    -3.22648122e-10
     1.94733773e+03            1.94733773e+03     1.85166216e-13     7.97357732e-12    -1.90639151e-10
     1.96396733e+03            1.96396733e+03     1.04799433e-13     4.59580242e-12    -1.11986377e-10
     1.98055943e+03            1.98055943e+03     5.90013634e-14     2.63414667e-12    -6.54025389e-11
     1.99711388e+03            1.99711388e+03     3.30370913e-14     1.50136920e-12    -3.79757731e-11
     2.01363053e+03            2.01363053e+03     1.84084847e-14     8.50976134e-13    -2.19233738e-11
     2.03010921e+03            2.03010921e+03     1.01916375e-14     4.79649570e-13    -1.25835379e-11
     2.04654976e+03            2.04654976e+03     5.61608776e-15     2.68852250e-13    -7.18121411e-12
     2.06295202e+03            2.06295202e+03     3.07608094e-15     1.49862266e-13    -4.07472723e-12
     2.07931581e+03            2.07931581e+03     1.67087188e-15     8.30835125e-14    -2.29884944e-12
     2.09564098e+03            2.09564098e+03     9.11518277e-16     4.58023661e-14    -1.28955659e-12
     2.11192734e+03            2.11192734e+03     4.93415537e-16     2.51140401e-14    -7.19261996e-13
     2.12817472e+03            2.12817472e+03     2.68306433e-16     1.36995511e-14    -3.98895943e-13
     2.14438295e+03            2.14438295e+03     1.59666188e-16     7.42955728e-15    -2.19974235e-13
     2.16055184e+03            2.16055184e+03     8.44870327e-17     4.01296963e-15    -1.20618133e-13
     2.17668122e+03            2.17668122e+03     4.41065387e-17     2.15194063e-15    -6.57642137e-14
     2.19277090e+03            2.19277090e+03     2.36343398e-17     1.14140589e-15    -3.56611932e-14
     2.20882069e+03            2.20882069e+03     1.37316329e-17     6.07378737e-16    -1.92323856e-14
     2.22483041e+03            2.22483041e+03     8.99517362e-18     3.22273454e-16    -1.03071120e-14
     2.24079987e+03            2.24079987e+03     2.46682881e-18     1.61952299e-16    -5.49490501e-15
     2.25672890e+03            2.25672890e+03    -3.05431122e-18     8.52287286e-17    -2.91331914e-15
     2.27261736e+03            2.27261736e+03    -9.69328939e-18     4.47357899e-17    -1.53306697e-15
     2.28846517e+03            2.28846517e+03    -5.19120368e-18     1.70446741e-17    -8.03160205e-16
     2.30427244e+03            2.30427244e+03    -5.58106672e-18     3.85110951e-18    -4.23321821e-16
     2.32003961e+03            2.32003961e+03    -2.80688214e-18    -8.70968980e-18    -2.17108510e-16
     2.33576781e+03            2.33576781e+03    -6.68249900e-18    -1.11213149e-17    -1.10039551e-16
     2.35145944e+03            2.35145944e+03    -3.15448855e-18    -9.10135580e-18    -6.37883350e-17
     2.36711895e+03            2.36711895e+03     4.57581304e-18    -6.50636644e-18    -3.82287511e-17
     2.38275387e+03            2.38275387e+03    -3.43375006e-18    -1.99559453e-18    -2.87305412e-17
     2.39837585e+03            2.39837585e+03    -5.50936979e-18    -5.47805638e-18    -1.59851402e-17
     2.41400095e+03            2.41400095e+03    -6.28746875e-18     3.52679375e-18    -1.34800278e-17
     2.42964905e+03            2.42964905e+03    -3.42594096e-18     8.81167674e-18    -1.09631234e-17
     2.44534176e+03            2.44534176e+03     2.86437602e-18     1.00877767e-18    -5.86675781e-18
     2.46109962e+03            2.46109962e+03    -1.58290440e-19     9.04573863e-19    -4.90607638e-18
     2.47693933e+03            2.47693933e+03     4.97918271e-19    -1.17099776e-18     5.63450415e-18
     2.49287210e+03            2.49287210e+03     1.85597548e-18    -2.34823257e-18     1.43671805e-18
     2.50890341e+03            2.50890341e+03     4.76834188e-18     5.44136536e-18     6.17351953e-18
     2.52503379e+03            2.52503379e+03    -1.75973996e-18     2.24010846e-18     3.69979909e-18
     2.54126013e+03            2.54126013e+03    -1.30891029e-18     3.12660443e-18    -1.49238752e-18
     2.55757697e+03            2.55757697e+03     1.35684789e-18    -1.97208236e-18    -5.75478800e-18
     2.57397754e+03            2.57397754e+03     5.82260793e-18     4.44765824e-18    -8.94125140e-18
     2.59045449e+03            2.59045449e+03     6.43485407e-18    -5.10236968e-19     1.31494789e-18
     2.60700035e+03            2.60700035e+03     2.42908446e-18     2.64855986e-18     7.83436064e-19
     2.62360782e+03            2.62360782e+03     2.53846762e-18     3.29583624e-18     2.33021087e-18
     2.64026988e+03            2.64026988e+03     2.16861550e-18    -3.74261526e-18     1.01128646e-17
     2.65697985e+03            2.65697985e+03     7.64006856e-20    -3.10472139e-19     4.97379106e-18
     2.67373138e+03            2.67373138e+03     8.97606451e-19    -2.78524649e-19     2.93932828e-18
     2.69051849e+03            2.69051849e+03     3.45699822e-19     8.61131825e-18     4.93898663e-18
     2.70733549e+03            2.70733549e+03     5.66043200e-19     8.47951123e-18     6.56638339e-18
     2.72417697e+03            2.72417697e+03     2.94811712e-18    -2.02776236e-19     2.99817468e-18
     2.74103776e+03            2.74103776e+03     3.92165685e-18    -2.52303541e-18     4.50995948e-18
     2.75791294e+03            2.75791294e+03    -1.49954150e-18     4.47932590e-19     6.29597675e-18
     2.77479774e+03            2.77479774e+03    -3.16549039e-18    -3.32013952e-18     3.71118514e-19
     2.79168760e+03            2.79168760e+03    -1.33786482e-18    -1.42956259e-18     2.90091327e-19
     2.80857807e+03            2.80857807e+03    -3.66029166e-18    -1.61767861e-18     3.04057798e-18
     2.82546486e+03            2.82546486e+03    -2.50321048e-18     1.19176965e-18     2.80580554e-18
     2.84234377e+03            2.84234377e+03    -4.20177281e-19    -1.40321528e-18     4.68810697e-19
     2.85921070e+03            2.85921070e+03    -8.29808142e-19    -1.31001178e-18     1.67030300e-18
     2.87606165e+03            2.87606165e+03     9.45585821e-19    -3.08411123e-18    -6.76021865e-19
     2.89289267e+03            2.89289267e+03     2.47443846e-18    -3.44766292e-18    -5.12172714e-19
     2.90969989e+03            2.90969989e+03     5.48165280e-18    -3.68205976e-18    -2.30357126e-18
     2.92647948e+03            2.92647948e+03     4.17448715e-18     1.33132528e-18    -5.41739583e-19
     2.94322767e+03            2.94322767e+03     3.08182377e-18    -1.04779509e-18    -1.46502189e-18
     2.95994070e+03            2.95994070e+03     1.39599572e-18    -7.20537179e-18    -2.19695797e-18
     2.97661487e+03            2.97661487e+03    -7.99062272e-19    -3.30578247e-18    -4.38438517e-18
     2.99324647e+03            2.99324647e+03     3.82770260e-19    -1.72858635e-18    -2.35863068e-18
     3.00983183e+03            3.00983183e+03    -8.32027124e-19     5.40107699e-19    -4.28076137e-18
     3.02636728e+03            3.02636728e+03    -1.71996793e-20     3.54822965e-18    -1.81677607e-18
     3.04284916e+03            3.04284916e+03     2.04424806e-18     1.64141588e-18    -1.95629159e-18
     3.05927378e+03            3.05927378e+03     2.50027706e-18    -9.38879355e-19    -1.39327076e-18
     3.07563749e+03            3.07563749e+03     4.18220297e-19     1.64867413e-18     5.19961103e-18
     3.09193658e+03            3.09193658e+03     8.74832535e-19     3.69760668e-18     5.10127025e-18
     3.10816735e+03            3.10816735e+03    -1.38543813e-18     8.57465630e-19     4.98664671e-18
     3.12432605e+03            3.12432605e+03     1.37162075e-18    -9.80718526e-19    -1.03894724e-18
     3.14040891e+03            3.14040891e+03     3.27767950e-18     3.04085091e-20    -5.61604954e-19
     3.15641213e+03            3.15641213e+03     3.27999374e-18    -1.62116167e-18     3.24684946e-19
     3.17233185e+03            3.17233185e+03     2.27453029e-18     4.09631090e-19    -1.98792535e-18
     3.18816416e+03            3.18816416e+03    -1.01700501e-18     2.65912331e-18     1.22416997e-18
     3.20390509e+03            3.20390509e+03    -2.12410480e-18     1.68364241e-18     8.59182989e-19
     3.21955060e+03            3.21955060e+03    -3.96615070e-18     2.55606424e-19     2.74053475e-18
     3.23509657e+03            3.23509657e+03     1.20158144e-18    -4.30094820e-18     5.22686017e-18
     3.25053879e+03            3.25053879e+03     1.32691245e-18    -8.55748259e-20     2.86663972e-18
     3.26587295e+03            3.26587295e+03    -3.75076060e-19    -4.05939693e-19     1.64128204e-18
     3.28109463e+03            3.28109463e+03     2.64598786e-18     8.14319817e-19     5.37525081e-19
     3.29619928e+03            3.29619928e+03     3.16978994e-18    -4.98703354e-19     3.91730719e-19
     3.31118220e+03            3.31118220e+03     2.68719598e-18    -3.59307036e-18    -4.94788567e-19
     3.32603854e+03            3.32603854e+03     2.23675966e-18    -1.73630147e-18    -3.72984623e-18
     3.34076325e+03            3.34076325e+03     5.13925086e-18    -4.07017250e-19    -2.75257424e-18
     3.35535109e+03            3.35535109e+03     4.59623271e-18     1.57194165e-18    -1.24891405e-18
     3.36979658e+03            3.36979658e+03     3.83836251e-18    -4.91376516e-19     1.56829988e-18
     3.38409397e+03            3.38409397e+03     5.34710176e-18    -7.68420473e-19     2.33197574e-18
     3.39823720e+03            3.39823720e+03     3.18008638e-18     1.71549394e-18     2.00020589e-18
     3.41221986e+03            3.41221986e+03     1.51678123e-18    -1.00938311e-18    -1.65927015e-18
     3.42603516e+03            3.42603516e+03     1.15010813e-18     1.17628039e-18    -2.17888750e-19
     3.43967580e+03            3.43967580e+03    -2.16812484e-18     1.68161307e-18     1.31302365e-18
     3.45313395e+03            3.45313395e+03     3.33592868e-19     3.07746357e-18     3.63085586e-18
     3.46640112e+03            3.46640112e+03     1.20200751e-18     1.29304165e-18     3.41839503e-18
