t_Jacobi: 2.052484e+00 (17843 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     1.90653065e+03            1.90653065e+03     2.34440486e-02     1.05845028e-01     1.58674876e-01
     1.94077425e+03            1.94077425e+03     2.14016067e-02     1.00274637e-01     1.60081323e-01
     1.97437898e+03            1.97437898e+03     1.95019316e-02     9.47438323e-02     1.60528660e-01
     2.00731233e+03            2.00731233e+03     1.77389238e-02     8.92823621e-02     1.60068312e-01
     2.03954242e+03            2.03954242e+03     1.61062943e-02     8.39167603e-02     1.58757618e-01
     2.07103806e+03            2.07103806e+03     1.45976303e-02     7.86703743e-02     1.56658609e-01
     2.10176879e+03            2.10176879e+03     1.32064555e-02     7.35634267e-02     1.53836820e-01
     2.13170484e+03            2.13170484e+03     1.19262839e-02     6.86131071e-02     1.50360147e-01
     2.16081724e+03            2.16081724e+03     1.07506685e-02     6.38336883e-02     1.46297764e-01
     2.18907781e+03            2.18907781e+03     9.67324337e-03     5.92366645e-02     1.41719123e-01
     2.21645919e+03            2.21645919e+03     8.68776143e-03     5.48309054e-02     1.36693026e-01
     2.24293486e+03            2.24293486e+03     7.78812580e-03     5.06228239e-02     1.31286794e-01
     2.26847917e+03            2.26847917e+03     6.96841666e-03     4.66165521e-02     1.25565522e-01
     2.29306736e+03            2.29306736e+03     6.22291312e-03     4.28141240e-02     1.19591438e-01
     2.31667560e+03            2.31667560e+03     5.54611056e-03     3.92156594e-02     1.13423349e-01
     2.33928098e+03            2.33928098e+03     4.93273378e-03     3.58195481e-02     1.07116185e-01
     2.36086154e+03            2.36086154e+03     4.37774616e-03     3.26226295e-02     1.00720633e-01
     2.38139630e+03            2.38139630e+03     3.87635527e-03     2.96203677e-02     9.42828552e-02
     2.40086526e+03            2.40086526e+03     3.42401515e-03     2.68070177e-02     8.78442854e-02
     2.41924937e+03            2.41924937e+03     3.01642552e-03     2.41757817e-02     8.14414996e-02
     2.43653060e+03            2.43653060e+03     2.64952829e-03     2.17189547e-02     7.51061503e-02
     2.45269188e+03            2.45269188e+03     2.31950155e-03     1.94280561e-02     6.88649568e-02
     2.46771706e+03            2.46771706e+03     2.02275130e-03     1.72939482e-02     6.27397425e-02
     2.48159087e+03            2.48159087e+03     1.75590101e-03     1.53069384e-02     5.67475109e-02
     2.49429879e+03            2.49429879e+03     1.51577938e-03     1.34568663e-02     5.09005504e-02
     2.50582682e+03            2.50582682e+03     1.29940618e-03     1.17331730e-02     4.52065579e-02
     2.51616104e+03            2.51616104e+03     1.10397638e-03     1.01249528e-02     3.96687736e-02
     2.52528671e+03            2.52528671e+03     9.26842546e-04     8.62098650e-03     3.42861162e-02
     2.53318631e+03            2.53318631e+03     7.65495467e-04     7.20975403e-03     2.90533095e-02
     2.53983452e+03            2.53983452e+03     6.17542868e-04     5.87942741e-03     2.39609917e-02
     2.54518306e+03            2.54518306e+03     4.80686078e-04     4.61784070e-03     1.89957974e-02
     2.54916193e+03            2.54916193e+03     3.52694327e-04     3.41243650e-03     1.41404033e-02
     2.55258723e+03            2.55258723e+03     2.31376328e-04     2.25018639e-03     9.37352752e-03
     2.55770280e+03            2.55770280e+03     1.14548612e-04     1.11748296e-03     4.66987245e-03
