t_Jacobi: 2.667479e+00 (19472 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     4.05466210e+00            4.05466210e+00     3.30547923e-02    -4.46800619e-02     5.23551440e-02
     7.89493366e+00            7.89493366e+00     6.80716610e-02    -9.03302296e-02     1.03851494e-01
     1.17830967e+01            1.17830967e+01     1.03778889e-01    -1.33495920e-01     1.48533121e-01
     1.56885876e+01            1.56885876e+01     1.38875947e-01    -1.70851129e-01     1.81088348e-01
     1.95996040e+01            1.95996040e+01     1.72104063e-01    -1.99475217e-01     1.97487020e-01
     2.35104718e+01            2.35104718e+01     2.02312911e-01    -2.17090408e-01     1.95459204e-01
     2.74180577e+01            2.74180577e+01     2.28518692e-01    -2.22237545e-01     1.74755643e-01
     3.13204564e+01            3.13204564e+01     2.49949663e-01    -2.14374753e-01     1.37160872e-01
     3.52164242e+01            3.52164242e+01     2.66076407e-01    -1.93892316e-01     8.62638672e-02
     3.91051024e+01            3.91051024e+01     2.76625484e-01    -1.62046107e-01     2.70230595e-02
     4.29858709e+01            4.29858709e+01     2.81576519e-01    -1.20820194e-01    -3.48119198e-02
     4.68582646e+01            4.68582646e+01     2.81144112e-01    -7.27359278e-02    -9.33439277e-02
     5.07219230e+01            5.07219230e+01     2.75747052e-01    -2.06290169e-02    -1.43155719e-01
     5.45765588e+01            5.45765588e+01     2.65968101e-01     3.25823099e-02    -1.79846928e-01
     5.84219369e+01            5.84219369e+01     2.52508061e-01     8.41160917e-02    -2.00423514e-01
     6.22578607e+01            6.22578607e+01     2.36137871e-01     1.31513801e-01    -2.03505830e-01
     6.60841625e+01            6.60841625e+01     2.17652246e-01     1.72782374e-01    -1.89347129e-01
     6.99006995e+01            6.99006995e+01     1.97827788e-01     2.06483549e-01    -1.59678477e-01
     7.37073725e+01            7.37073725e+01     1.77387813e-01     2.31768990e-01    -1.17415517e-01
     7.75042763e+01            7.75042763e+01     1.56975288e-01     2.48365114e-01    -6.62751463e-02
     8.12924805e+01            8.12924805e+01     1.37134469e-01     2.56515826e-01    -1.03550438e-02
     8.50769511e+01            8.50769511e+01     1.18301081e-01     2.56894178e-01     4.62735016e-02
     8.88737376e+01            8.88737376e+01     1.00800260e-01     2.50495193e-01     9.99175296e-02
     9.27186682e+01            9.27186682e+01     8.48510532e-02     2.38521917e-01     1.47529677e-01
     9.66642116e+01            9.66642116e+01     7.05759731e-02     2.22275320e-01     1.86875537e-01
     1.00758470e+02            1.00758470e+02     5.80140524e-02     2.03056445e-01     2.16599631e-01
     1.05027078e+02            1.05027078e+02     4.71358534e-02     1.82086538e-01     2.36200099e-01
     1.09474140e+02            1.09474140e+02     3.78590859e-02     1.60448150e-01     2.45930537e-01
     1.14092391e+02            1.14092391e+02     3.00637155e-02     1.39047740e-01     2.46651972e-01
