t_Jacobi: 4.133827e+01 (81671 iterations) t_armadillo: 1.407700e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     1.62566324e+03            1.62566324e+03     1.10807943e-01     8.29035920e-02    -9.67885053e-02
     1.66960928e+03            1.66960928e+03     1.08392767e-01     8.77022934e-02    -9.41466378e-02
     1.71393930e+03            1.71393930e+03     1.05937000e-01     9.22591543e-02    -9.10174589e-02
     1.75864247e+03            1.75864247e+03     1.03446557e-01     9.65659596e-02    -8.74214576e-02
     1.80370788e+03            1.80370788e+03     1.00927227e-01     1.00615679e-01    -8.33812803e-02
     1.84912452e+03            1.84912452e+03     9.83846553e-02     1.04402459e-01    -7.89215389e-02
     1.89488130e+03            1.89488130e+03     9.58243375e-02     1.07921612e-01    -7.40686117e-02
     1.94096703e+03            1.94096703e+03     9.32516018e-02     1.11169599e-01    -6.88504378e-02
     1.98737046e+03            1.98737046e+03     9.06716012e-02     1.14144005e-01    -6.32963074e-02
     2.03408026e+03            2.03408026e+03     8.80893033e-02     1.16843509e-01    -5.74366495e-02
     2.08108501e+03            2.08108501e+03     8.55094824e-02     1.19267858e-01    -5.13028187e-02
     2.12837324e+03            2.12837324e+03     8.29367121e-02     1.21417821e-01    -4.49268821e-02
     2.17593339e+03            2.17593339e+03     8.03753591e-02     1.23295156e-01    -3.83414091e-02
     2.22375385e+03            2.22375385e+03     7.78295782e-02     1.24902563e-01    -3.15792642e-02
     2.27182293e+03            2.27182293e+03     7.53033083e-02     1.26243634e-01    -2.46734048e-02
     2.32012889e+03            2.32012889e+03     7.28002694e-02     1.27322808e-01    -1.76566852e-02
     2.36865993e+03            2.36865993e+03     7.03239604e-02     1.28145317e-01    -1.05616681e-02
     2.41740420e+03            2.41740420e+03     6.78776582e-02     1.28717131e-01    -3.42044460e-03
     2.46634979e+03            2.46634979e+03     6.54644171e-02     1.29044901e-01     3.73553649e-03
     2.51548474e+03            2.51548474e+03     6.30870701e-02     1.29135908e-01     1.08756292e-02
     2.56479705e+03            2.56479705e+03     6.07482297e-02     1.28998001e-01     1.79701396e-02
     2.61427468e+03            2.61427468e+03     5.84502906e-02     1.28639541e-01     2.49904637e-02
     2.66390554e+03            2.66390554e+03     5.61954323e-02     1.28069343e-01     3.19092127e-02
