t_Jacobi: 2.356440e+00 (21137 iterations) t_armadillo: 2.211900e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     3.04192612e+04            3.04192612e+04     1.22589617e-01     1.20381552e-01     4.37635735e-03
     3.09671680e+04            3.09671680e+04     1.20381552e-01     1.24679083e-01    -8.74848085e-03
     3.15048537e+04            3.15048537e+04     1.18057027e-01     1.28494255e-01    -2.17971959e-02
     3.20317981e+04            3.20317981e+04     1.15618288e-01     1.31812308e-01    -3.46562468e-02
     3.25474914e+04            3.25474914e+04     1.13067697e-01     1.34620404e-01    -4.72137433e-02
     3.30514348e+04            3.30514348e+04     1.10407720e-01     1.36907681e-01    -5.93604186e-02
     3.35431406e+04            3.35431406e+04     1.07640930e-01     1.38665288e-01    -7.09905808e-02
     3.40221332e+04            3.40221332e+04     1.04770005e-01     1.39886426e-01    -8.20030324e-02
     3.44879493e+04            3.44879493e+04     1.01797722e-01     1.40566370e-01    -9.23019507e-02
     3.49401380e+04            3.49401380e+04     9.87269556e-02     1.40702491e-01    -1.01797722e-01
     3.53782621e+04            3.53782621e+04     9.55606776e-02     1.40294261e-01    -1.10407720e-01
     3.58018976e+04            3.58018976e+04     9.23019507e-02     1.39343259e-01    -1.18057027e-01
     3.62106347e+04            3.62106347e+04     8.89539277e-02     1.37853166e-01    -1.24679083e-01
     3.66040780e+04            3.66040780e+04     8.55198475e-02     1.35829746e-01    -1.30216270e-01
     3.69818468e+04            3.69818468e+04     8.20030324e-02     1.33280827e-01    -1.34620404e-01
     3.73435756e+04            3.73435756e+04     7.84068847e-02     1.30216270e-01    -1.37853166e-01
     3.76889146e+04            3.76889146e+04     7.47348833e-02     1.26647931e-01    -1.39886426e-01
     3.80175296e+04            3.80175296e+04     7.09905808e-02     1.22589617e-01    -1.40702491e-01
     3.83291027e+04            3.83291027e+04     6.71775995e-02     1.18057027e-01    -1.40294261e-01
     3.86233326e+04            3.86233326e+04     6.32996282e-02     1.13067697e-01    -1.38665288e-01
     3.88999344e+04            3.88999344e+04     5.93604186e-02     1.07640930e-01    -1.35829746e-01
     3.91586407e+04            3.91586407e+04     5.53637816e-02     1.01797722e-01    -1.31812308e-01
