	STD	INT	TIME
	0.009993853	0.198045373	0.002187
	0.007521925	0.183674285	0.0020841
	0.009248429	0.188866828	0.0022926
	0.006921247	0.174609683	0.0020213
	0.008651172	0.193454824	0.0021236
	0.009370043	0.188376437	0.0024817
	0.008413245	0.187990262	0.0028316
	0.009530099	0.202444352	0.0020246
	0.011646289	0.202721595	0.0019849
	0.008380028	0.188798685	0.0026679
			
AVG	0.008967633	0.190898233	0.00226993
STD	0.001257617	0.00819497	0.000280229
